Time,Ball X,Ball Y,Ball Z
44.65861,1.100821,0.8853632,-0.2792355
44.66959,1.066013,0.8736699,-0.3023349
44.68079,1.032277,0.8636346,-0.3241928
44.69239,0.9968318,0.8538033,-0.3460211
44.70312,0.9614807,0.8451849,-0.3664707
44.71484,0.9219865,0.8404205,-0.3826672
44.72711,0.8840448,0.8349698,-0.4001589
44.73644,0.8440236,0.8328437,-0.4145585
44.74791,0.8017083,0.8326432,-0.4271046
44.75936,0.7593671,0.8346047,-0.4372762
44.76995,0.7172769,0.8354119,-0.448326
44.78289,0.673478,0.8403975,-0.4549505
44.79327,0.6322008,0.8428624,-0.4634095
44.8034,0.5887178,0.8478867,-0.4679478
44.8148,0.5471338,0.8547034,-0.4713762
44.82645,0.5059613,0.8606135,-0.4754132
44.83718,0.4642643,0.8688824,-0.4756914
44.84816,0.4240502,0.8781576,-0.4747792
44.8602,0.3848058,0.8878704,-0.4723881
44.87048,0.3454939,0.8976772,-0.4703537
44.88186,0.3074932,0.9100381,-0.4645714
44.89359,0.2705436,0.9232548,-0.4571391
44.90396,0.235298,0.9393378,-0.4463787
44.91538,0.1991745,0.9537182,-0.4378694
44.9267,0.166104,0.9696496,-0.4257578
44.93764,0.1335523,0.9861976,-0.4120654
44.94974,0.1015408,1.00246,-0.3995246
44.95998,0.07295001,1.020194,-0.3836505
44.97129,0.04518104,1.038127,-0.3663586
44.98228,0.01952946,1.05628,-0.348567
44.99341,-0.004390717,1.074028,-0.329784
45.00471,-0.02856457,1.091378,-0.3115165
45.0161,-0.04986537,1.109098,-0.2913418
45.02682,-0.07105649,1.126297,-0.2713808
45.03814,-0.08938646,1.14336,-0.2500097
45.04934,-0.1064298,1.160043,-0.2281672
45.06057,-0.1221807,1.17606,-0.2058927
45.07162,-0.1369808,1.191406,-0.1832021
45.08287,-0.1521155,1.206584,-0.1611294
45.09394,-0.1645893,1.220682,-0.1380075
45.10508,-0.1762799,1.233335,-0.1144167
45.11636,-0.1863557,1.245917,-0.09072793
45.12756,-0.1950612,1.257833,-0.06725025
45.13854,-0.2028115,1.268607,-0.04311574
45.14968,-0.2086989,1.278948,-0.01899207
45.16074,-0.2148894,1.289287,0.004633904
45.17239,-0.2183421,1.298032,0.02892756
45.18343,-0.2200893,1.305732,0.05291617
45.19472,-0.2210472,1.313167,0.07715529
45.20579,-0.2221907,1.32052,0.1014619
45.21693,-0.2201458,1.325779,0.1251613
45.22831,-0.2173944,1.330724,0.149206
45.23997,-0.2135613,1.33433,0.1730646
45.25027,-0.2085897,1.337251,0.1967166
45.26162,-0.2040646,1.340129,0.2201996
45.2728,-0.1972567,1.340792,0.2434042
45.28493,-0.1910205,1.341809,0.2665714
45.295,-0.1818279,1.339575,0.2895871
45.30653,-0.1753073,1.339792,0.3124295
45.31876,-0.164681,1.335085,0.3349229
45.32921,-0.1558012,1.332027,0.3569272
45.33966,-0.1446161,1.325126,0.3787348
45.35102,-0.1330321,1.318494,0.4003156
45.36238,-0.1212929,1.310991,0.4218915
45.3736,-0.1098008,1.303677,0.443072
45.38433,-0.09676182,1.294348,0.4637658
45.39571,-0.08198047,1.282977,0.4836833
45.40747,-0.06801677,1.27291,0.5035738
45.41775,-0.05240059,1.261173,0.5223645
45.42887,-0.03664303,1.249583,0.5415794
45.44041,-0.01867795,1.236174,0.5590113
45.45164,0.0002539158,1.222327,0.5753541
45.46244,0.01921451,1.208752,0.5921229
45.47389,0.04051578,1.193934,0.6064873
45.48521,0.06325459,1.178456,0.6197479
45.49603,0.08560419,1.163474,0.6335346
45.50726,0.1121373,1.147071,0.6431618
45.51823,0.1368566,1.131185,0.6539482
45.5295,0.1641322,1.114582,0.6624385
45.54091,0.1921693,1.09826,0.6693283
45.55187,0.2215642,1.081102,0.6749241
45.56322,0.2515852,1.064228,0.6793101
45.57432,0.2811501,1.04769,0.6837418
45.58541,0.3129364,1.030475,0.6851237
45.59661,0.3452038,1.013806,0.6854105
45.60751,0.3783602,0.9971532,0.6840452
45.61902,0.4110349,0.9805527,0.6826309
45.62985,0.4453007,0.964643,0.6784611
45.64137,0.4798936,0.9492908,0.6723198
45.65232,0.5152541,0.9342254,0.6643366
45.66365,0.550042,0.9197069,0.6568777
45.6749,0.5861501,0.9070631,0.6436995
45.68584,0.6223348,0.8945421,0.6305124
45.69713,0.6577038,0.8823671,0.6175718
45.70839,0.6935991,0.8721956,0.6010898
45.71939,0.7291764,0.8629313,0.5828512
45.73108,0.7639309,0.8536005,0.5646523
45.74204,0.7988995,0.8468634,0.5433972
45.75297,0.8331734,0.8413197,0.520615
45.76497,0.8665789,0.8371786,0.4960833
45.77581,0.9001275,0.8322341,0.4725161
45.78751,0.9321164,0.83046,0.4458925
45.79772,0.9630622,0.8299547,0.4174711
45.80907,0.9929298,0.8300847,0.3888197
45.82016,1.022898,0.8302366,0.360449
45.83103,1.050021,0.8324642,0.3292221
45.84258,1.076753,0.8364724,0.2978433
45.85331,1.101941,0.8413507,0.2658628
45.86461,1.12509,0.8470954,0.2327347
45.87578,1.148976,0.8531135,0.2005597
45.88661,1.168174,0.8629197,0.1662799
45.89767,1.186853,0.8723614,0.1318646
45.90895,1.205773,0.8818669,0.09848398
45.92023,1.223501,0.8922145,0.06431657
45.93122,1.234946,0.9058288,0.02961624
45.94326,1.248909,0.9180968,-0.003987372
45.95356,1.259388,0.9319708,-0.03799212
45.9646,1.267967,0.9468776,-0.07236886
45.97679,1.276458,0.9611168,-0.1054394
45.98713,1.279135,0.9790914,-0.1364449
45.99834,1.280671,0.9977186,-0.165695
46.00965,1.27191,1.019712,-0.18566
46.02096,1.270591,1.038185,-0.2091869
46.03192,1.260996,1.059154,-0.2277486
46.04342,1.253847,1.078189,-0.245322
46.05383,1.243408,1.096563,-0.2591188
46.06505,1.23366,1.112774,-0.2695922
46.07652,1.225672,1.128812,-0.283197
46.08768,1.214733,1.139786,-0.2901434
46.09865,1.205653,1.152252,-0.2992297
46.11019,1.197205,1.16167,-0.3044227
46.12112,1.189369,1.168324,-0.3095515
46.13227,1.182201,1.173833,-0.3138727
46.14377,1.175294,1.180111,-0.3195223
46.15517,1.169279,1.182807,-0.3224806
46.16642,1.16348,1.184841,-0.325128
46.17757,1.157173,1.187027,-0.3281325
46.188,1.152309,1.185073,-0.3283073
46.19906,1.147285,1.185003,-0.3297096
46.21033,1.142242,1.182258,-0.3299938
46.22161,1.137945,1.178163,-0.3297347
46.23288,1.134468,1.173185,-0.3289374
46.2438,1.131365,1.166766,-0.3271703
46.25537,1.128529,1.160969,-0.3253828
46.26635,1.127335,1.152391,-0.3220247
46.27738,1.12811,1.141647,-0.3172387
46.28984,1.128125,1.132798,-0.3136629
46.29971,1.130155,1.122312,-0.3094358
46.31101,1.131752,1.112033,-0.3052479
46.32224,1.136522,1.099542,-0.2997662
46.33344,1.14001,1.088532,-0.2952935
46.34468,1.145283,1.076721,-0.2902545
46.35592,1.150417,1.06558,-0.2846833
46.36671,1.159382,1.053843,-0.2781497
46.3781,1.166418,1.043004,-0.2721549
46.38893,1.175639,1.032594,-0.2652631
46.40055,1.185261,1.022793,-0.2581171
46.41171,1.194655,1.013357,-0.2510911
46.42279,1.205984,1.006044,-0.2432327
46.4338,1.217234,1.000087,-0.2357455
46.44514,1.228823,0.9958626,-0.2279034
46.45636,1.239331,0.9938923,-0.2206043
46.46738,1.249329,0.9910325,-0.2130338
46.47855,1.25937,0.9908015,-0.2056328
46.48952,1.267893,0.9914272,-0.1980726
46.50082,1.276289,0.9914383,-0.1904324
46.5123,1.283459,0.994684,-0.1821827
46.5233,1.290291,0.9966842,-0.1739526
46.53427,1.295179,1.000791,-0.1655865
46.54537,1.30001,1.005283,-0.1570147
46.55705,1.303385,1.009838,-0.1485337
46.5679,1.305992,1.01489,-0.1404301
46.57911,1.30919,1.019325,-0.1318485
46.59046,1.311931,1.022774,-0.1234537
46.60259,1.312979,1.028328,-0.1156372
46.61253,1.313737,1.031745,-0.1064661
46.6237,1.314066,1.035122,-0.09798336
46.63503,1.315585,1.038104,-0.09076881
46.64605,1.315691,1.039636,-0.08364224
46.6572,1.315545,1.039257,-0.07676494
46.66838,1.315046,1.040437,-0.06899726
46.67948,1.315521,1.041834,-0.06126869
46.69054,1.32147,1.03761,-0.05484152
46.702,1.323564,1.035508,-0.04927301
46.71341,1.324977,1.033525,-0.04377532
46.72409,1.326663,1.029979,-0.03747618
46.73713,1.327244,1.027524,-0.03095579
46.7468,1.329356,1.025225,-0.02505141
46.7594,1.329269,1.021511,-0.02070248
46.76943,1.328297,1.020179,-0.01670372
46.78127,1.326444,1.018793,-0.01514566
46.79261,1.325719,1.01609,-0.01287502
46.80245,1.326853,1.015329,-0.01035154
46.81367,1.330227,1.016137,-0.009354591
46.82606,1.332046,1.016814,-0.008483291
46.83617,1.335765,1.019179,-0.008139074
46.84738,1.33938,1.019992,-0.00855267
46.85837,1.341782,1.021941,-0.008294404
46.86953,1.342143,1.026162,-0.009744644
46.8806,1.341819,1.029823,-0.01065481
46.89203,1.340949,1.033329,-0.0112251
46.90285,1.338675,1.03678,-0.01082265
46.91399,1.336618,1.038712,-0.01043165
46.92535,1.333261,1.040066,-0.0100618
46.93648,1.331243,1.038722,-0.009159803
46.94788,1.330402,1.0385,-0.007900596
46.95919,1.330471,1.036629,-0.006740093
46.96987,1.333576,1.034996,-0.004907072
46.98119,1.334651,1.033774,-0.003391266
46.99261,1.335799,1.032975,-0.001941919
47.00336,1.336828,1.032184,-0.0006341338
47.0145,1.337856,1.030875,0.0003893375
47.02573,1.339364,1.029997,0.0009716749
47.03728,1.341075,1.029347,0.002269983
47.04811,1.343211,1.028815,0.00289005
47.05962,1.344803,1.029322,0.002051294
47.07086,1.346813,1.030216,0.002129495
47.08163,1.348676,1.03027,0.002273262
