Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s
47.21588,NO,1,1.133303,0.8982898,-0.2552202,1.381638,1.099139,-0.3151795,0.3249699,NO,1.952945,3.700964
92.37667,NO,2,0.9907724,0.8113678,0.06069082,1.11793,1.055436,-0.05928552,0.3002213,NO,0.8702824,0.7484936
95.24682,NO,3,1.069448,0.8250786,-0.1533154,1.274089,1.049119,-0.2448157,0.3169299,NO,0.0990521,3.62043
98.1392,NO,4,1.063091,0.8117974,-0.08600497,1.238384,1.03916,-0.1943846,0.306867,YES,0,2.548678
100.7195,NO,5,1.074232,0.8274704,-0.1158495,1.298123,1.034348,-0.2131577,0.3199913,NO,0.1449213,2.443348
103.1096,NO,6,1.115409,0.8462029,-0.1019417,1.305178,1.05732,-0.2036655,0.3015467,YES,0,2.594669
123.6066,NO,7,1.075163,0.870697,0.1055039,1.163667,1.119698,-0.03776336,0.3005994,NO,0.8783666,0.9865729
126.8007,NO,8,1.025937,0.8090411,-0.1385901,1.222409,1.069727,-0.1429607,0.3264624,NO,0.1819041,2.653598
129.9839,NO,9,1.006269,0.7915558,-0.1089432,1.198418,1.032994,-0.1397144,0.3100976,YES,0,2.933471
133.0554,NO,10,1.075409,0.8137474,-0.03686827,1.259721,1.03704,-0.135008,0.3057156,NO,0.1832293,2.459473
136.0715,NO,11,1.06979,0.8129406,-0.04514647,1.274079,1.033096,-0.1344968,0.3133464,NO,0.1820827,2.525769
139.645,NO,12,1.061496,0.8158506,-0.07474351,1.251629,1.056733,-0.1493791,0.3158248,NO,0.1869747,2.342568
142.5941,NO,13,1.096641,0.8328204,-0.08888626,1.300921,1.061852,-0.1458548,0.3121395,YES,0,2.745348
147.4867,NO,14,1.097951,0.8323472,-0.08000541,1.281964,1.068957,-0.1206039,0.3024787,NO,0.2346016,2.343712
148.5706,NO,15,0.9582371,0.7912527,0.2872581,1.252553,1.082404,-0.02396339,0.5179285,NO,1.265648,2.328267
152.9821,NO,16,1.07539,0.8210434,-0.09495032,1.258135,1.064309,-0.1178733,0.3051221,NO,0.214029,2.085152
155.7746,NO,17,1.107327,0.8373897,-0.07898486,1.289329,1.086203,-0.1134455,0.3101941,NO,0.1941733,2.213205
159.2261,NO,18,1.078891,0.8178802,-0.07560587,1.271117,1.053093,-0.1045114,0.3051419,NO,0.1734093,2.377966
162.5538,NO,19,1.152503,0.8778218,0.2643011,1.281428,1.01956,0.02748966,0.304616,NO,0.3052365,2.900291
165.4255,NO,20,1.111992,0.8901551,0.3165767,1.246071,1.095093,0.1258036,0.3104374,NO,0.3144279,2.403572
168.4965,NO,21,1.083042,0.823838,0.2657764,1.216265,1.012974,0.05402285,0.3136245,NO,0.1333418,3.07779
171.5118,NO,22,1.039573,0.7978368,-0.0456413,1.236347,1.034075,-0.1104059,0.3142024,NO,0.1611022,2.715188
176.0137,NO,23,1.04031,0.8203518,-0.1802042,1.233551,1.067712,-0.1918691,0.3141105,YES,0,2.904514
178.6835,NO,24,1.054944,0.8155161,-0.114592,1.271833,1.04149,-0.1458093,0.3147694,NO,0.1714307,2.555213
181.7998,NO,25,1.055337,0.8032044,-0.06450057,1.255259,1.027046,-0.1392722,0.3092977,YES,0,2.719659
