Time,Ball X,Ball Y,Ball Z
22.55199,0.1896738,1.571162,-0.3097545
22.56302,0.1771879,1.550802,-0.2981779
22.57404,0.1653268,1.529101,-0.2863945
22.58503,0.1541977,1.506172,-0.2745735
22.59653,0.1437168,1.482024,-0.2628527
22.60768,0.1338378,1.45669,-0.2514146
22.61863,0.1244931,1.430186,-0.2403613
22.62982,0.1156095,1.402529,-0.229809
22.64121,0.1071348,1.373723,-0.2198153
22.65218,0.09902402,1.343769,-0.2104267
22.66348,0.09123604,1.312657,-0.2016497
22.67466,0.08373696,1.280358,-0.1935012
22.68609,0.07648659,1.246828,-0.1859534
22.69685,0.06947358,1.212049,-0.1789968
22.70791,0.06270298,1.175995,-0.1726222
22.71935,0.05619943,1.138647,-0.1668021
22.7305,0.05000692,1.100009,-0.1614752
22.7416,0.04420579,1.060108,-0.1565686
22.75272,0.03890613,1.019004,-0.1519843
22.76378,0.03426028,0.9768046,-0.1475895
22.77632,0.03047117,0.9336807,-0.143203
22.78603,0.02779287,0.8898974,-0.1385677
22.79734,0.02650244,0.8458644,-0.1333065
22.80869,0.02683923,0.8021907,-0.1268915
22.81959,0.02892019,0.7597415,-0.1186406
22.83114,0.03260128,0.7197286,-0.1077165
22.84254,0.03729125,0.6837788,-0.09318682
22.85345,0.04177767,0.6538374,-0.07420943
22.86482,0.04430678,0.6317021,-0.0503401
22.87547,0.0432345,0.6181691,-0.02174504
22.88661,0.03791516,0.6125317,0.01101733
22.89758,0.02887775,0.6127619,0.04718451
22.90907,0.01735548,0.616193,0.08577247
22.9202,0.004600889,0.6203849,0.1256691
22.93145,-0.00863324,0.6238078,0.166032
22.94264,-0.0221987,0.6260443,0.2066537
22.95368,-0.03617381,0.6273669,0.2478507
22.965,-0.05064459,0.6280618,0.2899474
22.97608,-0.06550895,0.628122,0.3330045
22.98723,-0.08063689,0.6273957,0.3769585
22.99855,-0.09594166,0.6257603,0.4217829
23.01065,-0.1113778,0.6231894,0.4675167
23.0209,-0.1269215,0.6197834,0.5142365
23.0323,-0.1425477,0.615822,0.5620283
23.04327,-0.1582004,0.6118354,0.610949
23.05455,-0.1737446,0.6086891,0.6609401
23.06533,-0.1888564,0.6076897,0.711578
23.07655,-0.2030033,0.6103769,0.7618361
23.08785,-0.2154939,0.617996,0.8100312
23.09886,-0.2256878,0.6308314,0.8542559
23.11031,-0.2332027,0.6482314,0.8930746
23.12179,-0.2379627,0.6691789,0.9258357
23.13274,-0.2403504,0.6923827,0.9530681
23.14362,-0.2409319,0.7167112,0.9759842
23.15527,-0.2401526,0.7413944,0.995644
23.16616,-0.2383685,0.7659212,1.012884
23.17734,-0.2358925,0.7899125,1.028385
23.18886,-0.2329238,0.8131841,1.042545
23.20039,-0.2295315,0.8357901,1.055471
23.21125,-0.2257193,0.8579509,1.067119
23.22247,-0.2215078,0.8799074,1.077478
23.23321,-0.216974,0.9017767,1.08669
23.2441,-0.2122347,0.923492,1.095055
23.25566,-0.2074018,0.9448729,1.102915
23.26664,-0.2025535,0.9657436,1.110542
23.27889,-0.1977354,0.9859977,1.118092
23.2891,-0.1929746,1.005594,1.125614
23.30021,-0.1882919,1.024531,1.133078
23.31106,-0.1837101,1.04283,1.14038
23.32305,-0.179258,1.06052,1.147354
23.33354,-0.1749719,1.077614,1.15379
23.3448,-0.1708926,1.094094,1.159456
23.35593,-0.1670591,1.109897,1.164129
23.36716,-0.1635022,1.124916,1.167625
23.37817,-0.1602395,1.139009,1.169829
23.38966,-0.1572723,1.152017,1.170702
23.40047,-0.1545869,1.163783,1.170283
23.41181,-0.1521585,1.174171,1.168672
23.42359,-0.1499571,1.183074,1.166004
23.43412,-0.1479529,1.190415,1.162426
23.44539,-0.1461207,1.196138,1.158078
23.45653,-0.1444417,1.20021,1.153085
23.46779,-0.1429047,1.202607,1.147553
23.47861,-0.1415065,1.203315,1.141569
23.49028,-0.1402527,1.202325,1.135203
23.50176,-0.1391576,1.199632,1.128503
23.51217,-0.1382424,1.195235,1.121504
23.52333,-0.1375316,1.189139,1.114222
23.53483,-0.1370484,1.181353,1.106654
23.54582,-0.1368104,1.171889,1.098777
23.55726,-0.1368248,1.16076,1.090542
23.56817,-0.1370846,1.147983,1.081875
23.57955,-0.1375642,1.133578,1.07268
23.59041,-0.1382167,1.117569,1.062838
23.60157,-0.1389727,1.099993,1.052225
23.61306,-0.1397434,1.080897,1.04073
23.62419,-0.1404487,1.060363,1.028405
23.63514,-0.1411053,1.038494,1.015761
23.6465,-0.1416229,1.015338,1.002781
23.65768,-0.1418258,0.9909111,0.9893752
23.66859,-0.1415776,0.9651914,0.975628
23.6799,-0.140704,0.9381959,0.9613978
23.69129,-0.1392328,0.9098765,0.9467096
23.70213,-0.1372533,0.8802406,0.9316019
23.71323,-0.1347281,0.8493673,0.9159101
23.72462,-0.1315867,0.8173795,0.8994053
23.73639,-0.1277573,0.784469,0.8817937
23.74679,-0.1232317,0.750897,0.8627998
23.75808,-0.1180528,0.7170328,0.8421664
23.7693,-0.1123005,0.683349,0.8196597
23.7816,-0.1060952,0.6504018,0.7950705
23.79134,-0.09960658,0.618825,0.7682469
23.80286,-0.09303536,0.5893141,0.7391139
23.81416,-0.08660289,0.5626321,0.7077024
23.82515,-0.08052603,0.539589,0.6741691
23.83618,-0.07498188,0.5210561,0.6387919
23.84738,-0.07005859,0.508003,0.6019794
23.85867,-0.06565467,0.5010568,0.5643864
25.09846,-0.08040813,1.278313,-0.2705337
25.10968,-0.1102239,1.219254,-0.2582198
25.12095,-0.1376795,1.159458,-0.2453764
25.13202,-0.1616971,1.098764,-0.2312274
25.14342,-0.1815685,1.037174,-0.2152437
25.15432,-0.1979736,0.9748235,-0.1972595
25.1654,-0.2117106,0.9121166,-0.1772271
25.17678,-0.2228762,0.8501211,-0.1543699
25.18812,-0.2314595,0.79071,-0.1275636
25.19893,-0.2379714,0.7360956,-0.09623361
25.21005,-0.2430306,0.6882986,-0.06053899
25.22142,-0.2466228,0.6506856,-0.02039258
25.23275,-0.2489409,0.6268966,0.0234934
25.24388,-0.2518414,0.6155436,0.06929792
25.25702,-0.2570383,0.6124701,0.116633
25.26624,-0.2644703,0.6140482,0.1658459
25.27723,-0.2734946,0.6179314,0.2171066
25.28988,-0.2835601,0.6230904,0.2706625
25.29979,-0.2941612,0.6292921,0.3269531
25.31078,-0.3046849,0.6363541,0.3861881
25.32253,-0.3146068,0.6439027,0.4480683
25.33321,-0.3236296,0.6516178,0.5121444
25.34443,-0.3314935,0.6594968,0.5781909
25.35539,-0.3377241,0.6679699,0.6461652
25.36713,-0.3414705,0.6779398,0.7159016
25.3779,-0.341498,0.6906874,0.7866873
25.38929,-0.3364559,0.7075204,0.8569266
25.40013,-0.3256238,0.7290269,0.9243171
25.41108,-0.3093859,0.7547224,0.9868249
25.42316,-0.2885607,0.7837679,1.043137
25.43361,-0.263775,0.8156146,1.092054
25.44467,-0.235727,0.8499433,1.13222
25.45589,-0.2057818,0.886176,1.163329
25.46716,-0.1755193,0.9234828,1.186558
25.47847,-0.1460258,0.9609976,1.204031
25.48926,-0.1176794,0.9980685,1.217807
25.5007,-0.09044785,1.034316,1.22926
25.51181,-0.06430019,1.069604,1.238886
25.52261,-0.03926092,1.103898,1.246821
25.53403,-0.01537663,1.137204,1.253071
25.54486,0.007365679,1.169531,1.257724
27.46631,-0.02139599,1.215733,-0.3537106
27.47741,-0.0519373,1.180391,-0.338983
27.48918,-0.08092833,1.145064,-0.3238026
27.49978,-0.1082923,1.109759,-0.3079444
27.51155,-0.1342378,1.074355,-0.2914199
27.52242,-0.159046,1.038682,-0.2742629
27.53318,-0.1829209,1.002633,-0.2564351
27.5445,-0.2059472,0.9661841,-0.2377881
27.55586,-0.2281287,0.9293492,-0.2181068
27.56703,-0.2493857,0.8921736,-0.1971314
27.57789,-0.269441,0.8548179,-0.1744447
27.5893,-0.287683,0.8176364,-0.1493072
27.60028,-0.3032295,0.7811001,-0.120726
27.61167,-0.3153191,0.7456491,-0.08779615
27.6228,-0.3237354,0.7118063,-0.04985627
27.63371,-0.3287695,0.6806892,-0.006157074
27.64509,-0.3311657,0.6543408,0.04412215
27.65633,-0.332537,0.6350949,0.1007921
27.66675,-0.3343924,0.6230997,0.1618859
27.67804,-0.3372091,0.6166492,0.2252905
27.68944,-0.3408794,0.6140882,0.2898072
27.70058,-0.3452226,0.6144812,0.3548602
27.71135,-0.3500926,0.6175149,0.4200728
27.72281,-0.3553161,0.6233474,0.4850266
27.73404,-0.3605999,0.6323634,0.549188
27.74516,-0.3654957,0.6448915,0.6119391
27.75614,-0.3694881,0.6609511,0.6727182
27.76736,-0.3721326,0.6802015,0.7311269
27.77848,-0.3731329,0.702077,0.7869232
27.7897,-0.3723061,0.7259645,0.8399194
27.80241,-0.3695211,0.7513104,0.8898937
27.81188,-0.3646781,0.7776189,0.9365888
27.82342,-0.357746,0.8044071,0.9798135
27.83421,-0.3487905,0.8312128,1.019552
27.8456,-0.3378928,0.8576745,1.055897
27.85664,-0.3251645,0.883529,1.089109
27.86808,-0.3108513,0.9085714,1.119756
27.87895,-0.2949772,0.9327648,1.148136
27.89058,-0.277201,0.9563081,1.174179
27.90145,-0.2572303,0.9795209,1.197938
27.91272,-0.2350868,1.00268,1.219658
27.9239,-0.2111358,1.025876,1.239735
27.93495,-0.1856646,1.049258,1.258312
27.94598,-0.1589262,1.073086,1.275277
27.95749,-0.1312777,1.097637,1.290348
27.9684,-0.1032615,1.1231,1.303146
27.97949,-0.07543884,1.149343,1.313523
27.99072,-0.04820094,1.176034,1.321573
28.00182,-0.02175348,1.202834,1.327454
29.62229,-0.1380922,1.186052,-0.3596889
29.63281,-0.1787867,1.142519,-0.3516275
29.64411,-0.2168174,1.100525,-0.3406624
29.656,-0.2543114,1.05817,-0.326825
29.66939,-0.2906479,1.014875,-0.3091924
29.67791,-0.326044,0.9710407,-0.2860444
29.6887,-0.3607991,0.9282694,-0.2555111
29.69986,-0.3951318,0.8891426,-0.2163151
29.71093,-0.4287667,0.8566696,-0.1684435
29.7221,-0.4607949,0.8331895,-0.1135472
29.73342,-0.490245,0.818619,-0.05462918
29.74449,-0.5169155,0.8103901,0.005722746
29.75549,-0.541178,0.8058472,0.06634107
29.76687,-0.563394,0.8033822,0.1268658
29.77796,-0.5836612,0.8022749,0.1871521
29.7892,-0.6017158,0.8023989,0.2470412
29.80026,-0.6170378,0.803861,0.3063226
29.81298,-0.629159,0.8066587,0.3648184
29.82268,-0.6379692,0.8105451,0.4224979
29.83366,-0.6437218,0.8151443,0.4794638
29.84513,-0.6467677,0.8201274,0.535809
29.85642,-0.6473333,0.8252875,0.5915126
29.86722,-0.6454637,0.8305197,0.6464256
29.87852,-0.6410909,0.8357564,0.7003137
29.88939,-0.6341051,0.8409241,0.7529114
29.90096,-0.6244418,0.8459274,0.8040288
29.91183,-0.6120502,0.8507035,0.8535938
29.92343,-0.5968421,0.855286,0.9015954
29.93432,-0.5786352,0.8598738,0.947996
29.94543,-0.5571918,0.8648594,0.992688
29.9566,-0.5323279,0.8708055,1.035491
29.96801,-0.5040198,0.8783847,1.076152
29.97918,-0.4725167,0.8882816,1.114367
29.99037,-0.4382915,0.9010604,1.149768
30.00151,-0.4020026,0.9170398,1.181966
30.01252,-0.3643825,0.936231,1.210603
30.02397,-0.3261279,0.9583287,1.235443
30.03482,-0.2878115,0.9828239,1.256375
30.04604,-0.2498588,1.009024,1.273525
30.05706,-0.212522,1.036164,1.2873
30.06866,-0.175904,1.06361,1.298226
