Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity
23.86,NO,1,0.2025704,1.589963,-0.3209947,0,0,0,1.634642,NO,0.2493528,0
26.21556,NO,2,-0.04742383,1.337712,-0.2820942,0,0,0,1.367954,YES,0,0
28.42667,NO,3,0.01082965,1.252705,-0.3663915,0,0,0,1.305232,YES,0,0
31.61555,NO,4,-0.09229817,1.232843,-0.3625473,0,0,0,1.288356,YES,0,0
34.43778,NO,5,-0.02415426,1.312105,-0.3817283,0,0,0,1.366719,NO,0.2425976,0
36.52667,NO,6,0.2209004,1.701098,-0.3756166,0,0,0,1.756024,NO,0.6739901,0
39.09333,NO,7,0.1874631,1.302249,-0.3076698,0,0,0,1.351168,NO,0.2218301,0
41.34889,NO,8,0.03960579,1.312511,-0.3263878,0,0,0,1.353064,YES,0,0
47.47111,NO,9,0.09727575,1.259217,-0.2651719,0,0,0,1.290506,NO,0.2595545,0
50.50444,NO,10,0.0703207,1.134595,-0.3321804,0,0,0,1.184312,NO,0.2831604,0
53.60445,NO,11,0.08478762,1.241067,-0.275527,0,0,0,1.274108,YES,0,0
56.88222,NO,12,0.03236632,1.281468,-0.2725483,0,0,0,1.310531,YES,0,0
57.91556,NO,13,0.06343298,1.476627,-0.4169418,0,0,0,1.535673,NO,1.165362,0
60.42667,NO,14,-0.08199591,1.234995,-0.3272927,0,0,0,1.280257,NO,0.2438577,0
63.79333,NO,15,-0.03853729,1.332283,-0.3295037,0,0,0,1.372966,NO,0.0923816,0
67.09334,NO,16,-0.05612697,1.365712,-0.3691685,0,0,0,1.41584,NO,0.1148127,0
70.44889,NO,17,-0.06602208,1.420702,-0.3888832,0,0,0,1.474443,NO,0.2489817,0
73.61555,NO,18,0.09776781,1.585757,-0.3745936,0,0,0,1.63233,NO,0.196555,0
77.87111,NO,19,-0.1138359,1.279786,-0.4006734,0,0,0,1.345864,YES,0,0
80.69334,NO,20,0.1305095,1.457321,-0.3584487,0,0,0,1.50642,NO,0.1701274,0
83.94889,NO,21,-0.1014642,1.177035,-0.4296763,0,0,0,1.257111,YES,0,0
87.32667,NO,22,-0.1218946,1.331457,-0.4086959,0,0,0,1.398095,NO,0.3014398,0
92.59334,NO,23,-0.2300713,1.003903,-0.4965343,0,0,0,1.143373,NO,0.1042841,0
95.87112,NO,24,-0.1008153,1.238923,-0.4161751,0,0,0,1.310838,YES,0,0
98.33778,NO,25,0.0562633,1.234496,-0.487948,0,0,0,1.328623,YES,0,0
