Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
138.6889,1,-0.3016641,1.063704,-0.419787,0,0,-0.3881034,1.107185,-0.6580074,-0.2305354,1.358536,-0.9384938
138.6996,1,-0.3016641,1.063704,-0.419787,0,0,-0.4146636,1.091104,-0.6699808,-0.2336415,1.356821,-0.9406514
138.7106,1,-0.3304943,1.044362,-0.3920794,0,0,-0.4401966,1.082085,-0.6876299,-0.2364293,1.355365,-0.942758
138.7219,1,-0.3575353,1.030066,-0.354598,0,0,-0.461687,1.070854,-0.7074107,-0.2391821,1.353963,-0.9448025
138.733,1,-0.3837008,1.019123,-0.310073,0,0,-0.4773109,1.059981,-0.7299566,-0.2417465,1.352526,-0.9466069
138.744,1,-0.4095553,1.009436,-0.2618344,0,0,-0.4863073,1.053995,-0.7554785,-0.2441413,1.350938,-0.9479213
138.7551,1,-0.4354493,0.9992629,-0.212569,0,0,-0.4946815,1.049019,-0.7782919,-0.2461656,1.349541,-0.9490269
138.7664,1,-0.4615978,0.9877826,-0.1635621,0,0,-0.4968156,1.053279,-0.7978956,-0.2479796,1.347763,-0.9493042
138.7777,1,-0.4880403,0.9750714,-0.1145878,0,0,-0.4983155,1.055818,-0.8139476,-0.2496337,1.345909,-0.9491361
138.789,1,-0.5416347,0.947683,-0.01404758,0,0,-0.4985253,1.057857,-0.824273,-0.2513775,1.344154,-0.9491454
138.7997,1,-0.5416347,0.947683,-0.01404758,0,0,-0.5025965,1.060658,-0.8351558,-0.253012,1.342736,-0.9495322
138.8122,1,-0.5960816,0.91866,0.09139366,0,0,-0.5014719,1.063733,-0.8424852,-0.2545883,1.341727,-0.9504953
138.8227,1,-0.6235597,0.9034613,0.1460871,0,0,-0.4995788,1.066747,-0.8495711,-0.255719,1.340845,-0.9509871
