Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees)
140.2889,NO,1,-0.23406,1.119275,-0.4400598,-0.359332,1.122982,-0.6453212,0.2404976,YES,0,4.929307,0,1.5,0.5,68.54504
145.8333,NO,2,-0.2419825,1.110331,-0.4154225,-0.4000471,1.111441,-0.5969136,0.2406754,YES,0,5.114335,0,1.5,0.5,67.63108
151.9111,NO,3,-0.2103955,1.141392,-0.4576517,-0.3666352,1.134923,-0.6267321,0.230306,NO,0.158277,5.147445,0,1.5,0.5,69.91032
155.5,NO,4,-0.241013,1.019992,-0.4027528,-0.3916755,1.03657,-0.5936611,0.2437621,YES,0,4.522718,0,1.5,0.5,62.80938
160,NO,5,-0.3110982,0.9243482,-0.4289303,-0.4912186,0.9843025,-0.6723231,0.3086712,NO,0.1797979,2.921969,0,1.5,0.5,59.56083
164.7556,NO,6,-0.5026068,1.028095,-0.4836655,-0.4453342,1.175525,-0.6341674,0.2183268,NO,0.6145741,0.8970419,0,1.5,0.5,66.86756
168.8778,NO,7,-0.3916028,1.048468,-0.4197631,-0.5797225,1.076683,-0.6746122,0.3180145,YES,0,5.314128,0,1.5,0.5,65.69193
173.3222,NO,8,-0.4661579,1.107224,-0.3966631,-0.5959718,1.113508,-0.6640863,0.297332,NO,0.1632939,3.205029,0,1.5,0.5,68.76104
176.9,NO,9,-0.3570577,1.172472,-0.4781822,-0.5551342,1.174716,-0.7556127,0.3408915,YES,0,5.76374,0,1.5,0.5,72.53985
180.5,NO,10,-0.5540481,1.195139,-0.5233459,-0.4605916,1.275099,-0.7242557,0.2355682,NO,0.4167337,1.183731,0,1.5,0.5,75.31987
187.8333,NO,11,-0.3727164,1.254068,-0.5083439,-0.5449415,1.207757,-0.8171676,0.3566207,NO,0.2239903,4.890689,0,1.5,0.5,77.11426
192.3444,NO,12,-0.4351157,1.202468,-0.4556885,-0.6404165,1.18795,-0.7482735,0.3577222,NO,0.2030933,4.27616,0,1.5,0.5,74.18031
