Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
8377.264,NO,1,0.2310297,0.858337,0.3492031,0.4771253,0.9177579,0.5522423,0.3245285,NO,0.2527266,4.918386,-1.806697,2.484349,0.2851992,51.42551,0,NONE,1,POLE
8384.729,NO,2,1.1583,0.9077711,0.1958714,1.029258,1.033629,0.4538825,0.3147409,NO,0.1175416,4.9647,-1.806697,2.484349,0.2851992,62.00985,0,NONE,1,POLE
8392.804,NO,3,1.1398,0.8880019,0.1936116,0.9642422,0.9938568,0.4372168,0.3183856,NO,0.1361945,4.447815,-1.806697,2.484349,0.2851992,61.56373,0,NONE,1,POLE
8404.421,NO,4,0.09933114,1.003484,0.3312988,0.3667648,0.9355153,0.5095241,0.3284887,YES,0,4.19692,-1.806697,2.484349,0.2851992,52.16314,10,NONE,1,POLE
8410.945,NO,5,0.7862622,0.8478628,0.2685173,0.9282758,0.9207519,0.5373294,0.3126351,NO,0.4831924,1.28747,-1.806697,2.484349,0.2851992,57.7434,10,NONE,1,POLE
8422.362,NO,6,0.2992439,0.9325763,0.315551,0.4718455,0.8466449,0.5473788,0.3015288,NO,0.1044206,3.493779,-1.806697,2.484349,0.2851992,53.61802,10,NONE,1,POLE
8430.481,NO,7,0.1624644,1.031308,0.372231,0.3609407,0.9462239,0.5824587,0.3013766,NO,0.09677542,4.09372,-1.806697,2.484349,0.2851992,53.60315,10,NONE,1,POLE
8434,NO,8,0.3714548,0.879246,0.3048608,0.568219,0.8708258,0.5682392,0.3288696,NO,0.1560985,4.145633,-1.806697,2.484349,0.2851992,53.61421,10,NONE,1,POLE
8438.369,NO,9,1.099107,0.8604662,0.2098863,1.020531,0.9743352,0.4905167,0.3128797,NO,0.1461355,4.249877,-1.806697,2.484349,0.2851992,60.80993,10,NONE,1,POLE
8441.518,NO,10,0.2091179,0.9549428,0.2666056,0.4016455,0.8757774,0.518995,0.3271613,NO,0.1439943,3.209804,-1.806697,2.484349,0.2851992,52.81345,10,NONE,1,POLE
8443.978,NO,11,0.2325091,0.945773,0.2272227,0.4161615,0.8903879,0.4923186,0.3272179,NO,0.1264228,3.246338,-1.806697,2.484349,0.2851992,52.97666,10,NONE,1,POLE
8446.612,NO,12,0.3524929,0.848536,0.2477016,0.4853362,0.8046761,0.5264845,0.311915,NO,0.08308222,4.477424,-1.806697,2.484349,0.2851992,52.8564,10,NONE,1,POLE
8453.594,NO,13,0.4234982,1.051418,0.5435839,0.7272609,1.025443,0.5623467,0.3054481,YES,0,0.7982503,-1.806697,2.484349,0.2851992,57.45216,20,NONE,1,POLE
8458.13,NO,14,1.099992,0.8678555,0.1472554,1.046753,0.9572183,0.4294107,0.3007185,NO,0.2934142,4.817277,-1.806697,2.484349,0.2851992,60.94766,20,NONE,1,POLE
8465.938,NO,15,1.064678,0.8906549,0.2354693,1.084579,0.9048179,0.5573933,0.3228493,NO,0.09248324,3.930049,-1.806697,2.484349,0.2851992,60.97214,20,NONE,1,POLE
8475.835,NO,16,0.3891851,0.9037408,0.3644249,0.5657039,0.8344603,0.6058648,0.3070046,YES,0,4.160769,-1.806697,2.484349,0.2851992,54.27111,30,NONE,1,POLE
8486.982,NO,17,0.3558603,0.8664553,0.2611337,0.5185231,0.8171176,0.5149381,0.305467,NO,0.06789143,3.799437,-1.806697,2.484349,0.2851992,53.2001,30,NONE,1,POLE
8492.58,NO,18,0.3229342,0.9147424,0.3134494,0.5110331,0.8506105,0.5703044,0.3247593,NO,0.1330621,3.596099,-1.806697,2.484349,0.2851992,53.611,30,NONE,1,POLE
8494.971,NO,19,0.3084897,0.875779,0.2751188,0.4800581,0.8599285,0.5250728,0.3035852,NO,0.2495509,4.582489,-1.806697,2.484349,0.2851992,52.74783,30,NONE,1,POLE
8501.013,NO,20,0.4122989,1.082931,0.5336196,0.6873804,0.9684837,0.5705347,0.3002179,NO,0.1225025,0.8151413,-1.806697,2.484349,0.2851992,57.88621,30,NONE,1,POLE
