Time,Ball X,Ball Y,Ball Z
204.1525,0.2234571,0.9199115,-0.9850543
204.1635,0.2002789,0.9125983,-1.009648
204.1754,0.186569,0.9251944,-1.037675
204.1858,0.1693602,0.9296511,-1.074773
204.1972,0.1662825,0.9316368,-1.117356
204.2081,0.1548505,0.937359,-1.147771
204.2198,0.154201,0.9545389,-1.176582
204.231,0.1484517,0.9664086,-1.203042
204.2417,0.1419454,0.9728959,-1.232765
204.2534,0.1400195,0.9747568,-1.263844
204.2646,0.1354027,0.9801581,-1.294518
204.2761,0.131713,0.9833125,-1.326579
204.2866,0.1357946,0.9847423,-1.358589
204.2977,0.128756,0.9976777,-1.382235
204.3089,0.1354704,1.013433,-1.40568
204.3199,0.1419892,1.026982,-1.42891
204.3313,0.1490682,1.040796,-1.453789
204.3422,0.1543881,1.049634,-1.480624
204.3541,0.1591344,1.058039,-1.508489
204.3663,0.1617622,1.06393,-1.534245
204.3756,0.1685963,1.069275,-1.560546
204.3868,0.1763289,1.074965,-1.587129
204.3983,0.1834619,1.080112,-1.612671
204.4095,0.1967565,1.085878,-1.635169
204.4205,0.2153732,1.094637,-1.655125
204.4317,0.233052,1.106335,-1.670978
204.4431,0.2511033,1.11917,-1.686602
204.454,0.2691029,1.13215,-1.702953
204.465,0.2865449,1.140702,-1.721151
204.4767,0.3044256,1.146497,-1.739697
204.4877,0.3224812,1.149509,-1.757313
204.4989,0.3421174,1.156405,-1.774671
204.5099,0.3602802,1.156883,-1.792087
204.5209,0.3788679,1.158747,-1.809779
204.5322,0.3991383,1.159353,-1.826636
204.5433,0.4184608,1.158394,-1.842981
204.555,0.4384109,1.155768,-1.858881
204.5662,0.4593974,1.154283,-1.872331
204.5769,0.4797922,1.151548,-1.885581
204.5892,0.5007071,1.145051,-1.898386
204.5995,0.5218289,1.139608,-1.910266
204.6108,0.5414317,1.1322,-1.922536
204.6227,0.562723,1.126341,-1.934343
204.6338,0.5846017,1.124726,-1.940601
204.6444,0.6102611,1.129086,-1.936362
204.6558,0.6335501,1.127665,-1.939717
204.6664,0.6577821,1.121805,-1.94129
204.6772,0.6814195,1.115856,-1.943423
204.6904,0.7053294,1.110787,-1.942538
204.6999,0.7301787,1.106004,-1.943721
204.7119,0.7543918,1.098944,-1.940895
204.7218,0.7782546,1.093324,-1.93844
204.7331,0.8032172,1.086444,-1.934895
204.7442,0.8273449,1.081418,-1.923695
204.756,0.8512223,1.078977,-1.910185
204.7667,0.8769836,1.075969,-1.900012
204.7783,0.9003843,1.072721,-1.886414
204.789,0.9240762,1.065082,-1.874009
204.8003,0.9507244,1.058284,-1.861413
204.8113,0.9739637,1.052177,-1.847521
204.8232,0.9965091,1.042108,-1.831099
204.8342,1.021883,1.033597,-1.815931
204.8448,1.044484,1.023596,-1.798431
204.8567,1.066349,1.012775,-1.78046
204.8687,1.089819,1.002808,-1.761736
204.8788,1.110139,0.9959034,-1.738765
204.8904,1.130339,0.9885594,-1.71758
204.9008,1.150619,0.9807823,-1.694525
204.9118,1.170263,0.9711463,-1.671942
204.9234,1.189392,0.9619725,-1.648273
204.9343,1.208617,0.9519699,-1.625108
204.9454,1.22677,0.9409513,-1.600256
204.9572,1.243861,0.9304317,-1.574903
204.9676,1.260314,0.9217068,-1.548487
204.9791,1.275337,0.9130687,-1.520629
204.9902,1.286335,0.9085714,-1.490172
205.0015,1.295051,0.9077169,-1.458558
205.0127,1.301446,0.9084381,-1.426273
205.0235,1.308895,0.9055452,-1.394117
205.0349,1.317643,0.9009691,-1.363166
205.0462,1.325958,0.8959399,-1.332045
205.0572,1.330309,0.8929615,-1.298634
205.0691,1.337185,0.8878431,-1.266509
205.079,1.339764,0.8850887,-1.233181
205.0905,1.338575,0.8862473,-1.198436
205.1019,1.33599,0.8912868,-1.164648
205.1137,1.331189,0.8985618,-1.131424
205.1242,1.328421,0.9035352,-1.099184
205.1351,1.322898,0.9076005,-1.066143
205.1463,1.317308,0.9108704,-1.033708
205.1572,1.311084,0.9149308,-1.002344
205.1688,1.302997,0.9191548,-0.9707398
205.1797,1.295682,0.9215559,-0.9390073
205.1913,1.285954,0.9257039,-0.9083183
205.2021,1.274934,0.9303464,-0.8790874
205.2131,1.263563,0.9335653,-0.8494093
205.2244,1.251427,0.936892,-0.8201215
205.2357,1.239186,0.9399809,-0.7917924
205.247,1.223577,0.9439776,-0.7647145
205.258,1.209519,0.94812,-0.735934
205.2689,1.192935,0.9534693,-0.7096493
205.2802,1.176387,0.9586598,-0.6838126
205.2915,1.157471,0.9666499,-0.6599309
205.3024,1.137919,0.9755124,-0.6392918
205.3139,1.118361,0.9829725,-0.6191266
205.3248,1.098081,0.9911703,-0.5998216
205.336,1.078014,0.9975642,-0.5812724
205.3472,1.057896,1.004423,-0.5630124
205.3594,1.036111,1.011404,-0.5485218
205.3711,1.01508,1.018248,-0.5329998
205.3821,0.9927354,1.02633,-0.5211794
205.3924,0.9698982,1.034174,-0.5107789
205.403,0.9443701,1.042417,-0.4997315
205.4142,0.9202052,1.049242,-0.4932237
205.4262,0.8965487,1.056496,-0.4848046
205.4369,0.8718656,1.062357,-0.4778993
205.448,0.847813,1.067737,-0.4715576
205.4591,0.8235902,1.07379,-0.4658833
205.4704,0.7982037,1.079919,-0.4646394
205.4813,0.7737373,1.085873,-0.4614444
205.4925,0.7499852,1.091789,-0.463145
205.5042,0.7270789,1.096431,-0.4639971
205.5147,0.7053607,1.097013,-0.4669132
205.5261,0.6827865,1.098567,-0.4675951
205.5375,0.6612418,1.098037,-0.4699214
205.5485,0.6399843,1.097118,-0.4729807
205.5608,0.6183035,1.094652,-0.4758666
205.5709,0.5973054,1.094369,-0.4813221
205.582,0.5799218,1.099187,-0.4959459
205.5931,0.5695128,1.104223,-0.4948094
205.6043,0.5726217,1.116299,-0.4918783
205.6159,0.566177,1.113537,-0.497694
205.6266,0.5521047,1.10322,-0.4973114
205.638,0.5443362,1.099276,-0.5099082
205.6488,0.5395277,1.09567,-0.5191844
205.6601,0.5378418,1.087262,-0.5277581
205.6715,0.5337152,1.083468,-0.532059
205.6823,0.5314373,1.078499,-0.537077
205.6936,0.5281515,1.074723,-0.5430889
205.7048,0.5246695,1.072622,-0.5505674
205.716,0.5176168,1.072585,-0.5568104
205.7272,0.5075843,1.06929,-0.5604594
205.7385,0.4998342,1.066467,-0.5634909
205.7496,0.4921045,1.063269,-0.5654519
205.7607,0.4848931,1.060958,-0.5684211
205.7719,0.4781623,1.058866,-0.5722165
205.7834,0.471889,1.057048,-0.5774243
205.7941,0.4659185,1.055214,-0.582912
205.8053,0.4607896,1.052671,-0.5889945
205.8167,0.4558058,1.049257,-0.5952408
205.8278,0.4507451,1.045284,-0.6010756
205.8392,0.4465245,1.039859,-0.6077135
205.85,0.4460052,1.034942,-0.6151009
205.8615,0.444234,1.03115,-0.6224415
205.8739,0.4421694,1.025862,-0.628442
205.8835,0.4397379,1.018837,-0.633471
205.896,0.4851788,1.115638,-0.4897699
205.9072,0.4832714,1.115453,-0.49052
205.9172,0.4800599,1.115068,-0.4885228
205.928,0.4788817,1.1172,-0.4886611
205.9395,0.4767009,1.116176,-0.4880037
205.9505,0.4751011,1.114931,-0.4842799
205.9616,0.4770901,1.116603,-0.4838226
205.9733,0.4755809,1.114953,-0.4829183
205.9842,0.475396,1.112,-0.4799123
205.9953,0.4797193,1.110949,-0.4797418
206.0068,0.4793062,1.109276,-0.4797394
206.0175,0.4793166,1.107292,-0.4793589
206.0299,0.4778591,1.105589,-0.4786766
206.0408,0.477336,1.104144,-0.4791813
206.051,0.4773554,1.102987,-0.4803894
206.0623,0.4899364,1.100345,-0.4831357
206.0736,0.4906099,1.098615,-0.4843214
206.0846,0.492821,1.096366,-0.4842696
206.0962,0.500149,1.095763,-0.48611
206.1069,0.502079,1.095137,-0.4866679
206.1181,0.5063689,1.0952,-0.4870808
206.1296,0.5119689,1.095651,-0.4870043
206.1407,0.5149651,1.094915,-0.486335
206.1515,0.520573,1.093818,-0.4870434
206.1626,0.5244123,1.093911,-0.4854732
206.175,0.5281199,1.093619,-0.4840527
206.1853,0.5324776,1.093149,-0.4849961
206.1963,0.5361164,1.092561,-0.4843962
206.208,0.5404576,1.092259,-0.4842033
206.2189,0.5478102,1.090777,-0.487433
206.2298,0.5539616,1.090436,-0.488683
206.241,0.5598766,1.090291,-0.4892874
206.2521,0.5689698,1.088862,-0.4928787
206.2634,0.5766673,1.088537,-0.4941955
206.2753,0.5859684,1.085715,-0.4954393
206.286,0.5967371,1.084036,-0.4982514
206.2971,0.6060653,1.081653,-0.4987495
206.3086,0.6153575,1.080844,-0.49861
206.3193,0.6249472,1.079966,-0.4997232
206.3304,0.6357263,1.077548,-0.4995887
206.3416,0.6452706,1.076849,-0.4990141
206.3528,0.6542282,1.076777,-0.4991207
206.3641,0.6656643,1.075057,-0.497565
206.3763,0.675353,1.075109,-0.4962008
206.386,0.6857398,1.074562,-0.4952264
206.3979,0.6951649,1.075068,-0.4931545
206.4085,0.7046043,1.076993,-0.4910493
206.4199,0.7138532,1.078509,-0.4897919
206.4309,0.723303,1.08003,-0.4877365
206.4426,0.7320987,1.08296,-0.4855802
206.4532,0.7410106,1.085475,-0.4839647
206.4646,0.7491316,1.08767,-0.4815476
206.4755,0.7564545,1.090728,-0.4789059
206.4887,0.7632949,1.093353,-0.4767647
206.498,0.7697395,1.096824,-0.4745209
206.5087,0.83687,1.069891,-0.4898036
206.5214,0.8436056,1.073453,-0.4883208
206.5315,0.850005,1.076366,-0.4870057
206.5425,0.8562273,1.07987,-0.4856436
206.5539,0.8617016,1.083708,-0.4843929
206.5649,0.861426,1.088341,-0.4812911
206.5779,0.865769,1.091527,-0.480279
206.5873,0.8694661,1.095014,-0.4795513
206.5984,0.8690565,1.098414,-0.4773092
206.6093,0.872497,1.100692,-0.4763136
206.6207,0.8752172,1.102804,-0.4758854
206.6323,0.8740135,1.104462,-0.4741657
206.6429,0.8754426,1.104967,-0.4739058
206.6543,0.877076,1.106287,-0.4738417
206.6657,0.8748587,1.106491,-0.4729545
206.6767,0.875362,1.106196,-0.4733427
206.6879,0.8755165,1.10509,-0.4736798
206.6989,0.8732864,1.104097,-0.4734037
206.7099,0.8724164,1.102207,-0.4741948
206.7213,0.8714873,1.100332,-0.474911
206.7323,0.867121,1.096954,-0.4759192
206.7437,0.864846,1.094281,-0.4773502
206.7547,0.8614336,1.090666,-0.479419
206.7658,0.8566337,1.086768,-0.4808803
206.7774,0.8515373,1.081466,-0.4829748
206.7891,0.8457024,1.075449,-0.485697
206.8004,0.8370643,1.067881,-0.489465
206.8107,0.8302675,1.061244,-0.4932868
206.822,0.822145,1.054007,-0.4959919
206.8331,0.8130104,1.045917,-0.5002508
206.8449,0.802345,1.035589,-0.5067592
