Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
210.9229,YES,1,0.5964646,0.9922243,-0.576278,0.6743317,1.040113,-0.5366857,0.09962016,YES,0
213.7699,YES,2,0.5333828,1.075182,-0.5233269,0.6747732,1.037229,-0.4541276,0.1619267,NO,0.07479195
216.719,YES,3,0.5618924,1.045634,-0.5320799,0.683326,1.037623,-0.5279796,0.1217666,NO,0.1044497
220.0925,YES,4,0.8443053,1.025489,-0.5131133,0.8217045,1.078411,-0.3825309,0.1427,YES,0
223.4773,YES,5,0.2323589,0.9534976,-1.437671,0.4938771,1.016791,-0.5080645,0.9677638,YES,0
229.7215,YES,6,0.7099864,1.010816,-0.5393147,0.6788372,1.015949,-0.4163234,0.1269783,YES,0
231.8107,YES,7,0.4249385,1.152039,-0.4413297,0.7206439,1.05786,-0.4412978,0.3103406,NO,0.1106495
234.424,YES,8,0.120544,1.27364,-0.4606838,0.6897731,1.049862,-0.4475198,0.6117775,YES,0
236.9599,YES,9,0.463113,1.125631,-0.4692411,0.7494308,0.9996421,-0.3223672,0.3455765,NO,0.1325052
237.7529,YES,10,0.8351941,1.077758,-0.4594564,0.7997431,1.092598,-0.340054,0.1254349,NO,1.552581
240.4119,YES,11,0.818818,1.115409,-0.4460793,0.7905388,1.118821,-0.3418558,0.1080457,NO,0.1391723
243.1697,YES,12,0.6812092,1.05321,-0.5065472,0.6846293,1.041704,-0.4144087,0.09291703,YES,0
246.5332,YES,13,1.071019,1.229084,-1.957017,0.714133,0.9938468,-0.4136641,1.60145,YES,0
247.7063,YES,14,0.3384445,1.209761,-0.4259186,0.7012122,1.062724,-0.431437,0.3914726,NO,0.5644182
248.2652,YES,15,0.5862569,1.194686,-0.399493,0.7863383,1.071995,-0.3637559,0.2374083,NO,1.6105
251.2155,YES,16,0.7787554,1.099002,-0.4402137,0.7574658,1.07572,-0.3599889,0.08620512,YES,0
253.3609,YES,17,0.01395345,1.373519,-0.3344233,0.6882641,1.068575,-0.4629037,0.751128,YES,0
256.9224,YES,18,0.2187232,0.9315728,-1.115858,0.4982839,1.037542,-0.4858227,0.6973724,YES,0
259.4362,YES,19,0.5462878,0.8972305,-0.6610854,0.6264578,0.9773688,-0.4468699,0.2423586,YES,0
270.4947,YES,20,0.4839168,1.100054,-0.4820325,0.6659249,1.014326,-0.4563198,0.2028235,NO,0.07609697
274.3925,YES,21,0.7801839,1.08237,-0.4725158,0.7774398,1.068395,-0.3281057,0.1451107,YES,0
276.4035,YES,22,0.2485754,1.152662,-0.580997,0.7025071,1.040651,-0.4338367,0.4901599,NO,0.09020666
276.9065,YES,23,0.4589288,1.244046,-0.3750544,0.8117642,1.076765,-0.3349607,0.3925346,NO,1.475733
279.0177,YES,24,0.3375188,1.201126,-0.4115281,0.7050758,1.047379,-0.4404812,0.3994679,YES,0
281.9328,YES,25,0.3939972,1.245961,-0.3385615,0.6914368,1.03618,-0.4200332,0.3729822,YES,0
