Time,Ball X,Ball Y,Ball Z
774.9995,0.5034196,0.783,-0.7150123
775.0104,0.4895545,0.7645396,-0.7537644
775.0218,0.4771517,0.7490966,-0.7932279
775.0331,0.4696661,0.7397192,-0.8379304
775.0438,0.4639425,0.7431681,-0.8806365
775.0556,0.4541566,0.7341056,-0.9285707
775.0662,0.4479069,0.7308456,-0.9744732
775.0771,0.4405184,0.7251157,-1.019884
775.0889,0.4347463,0.7245989,-1.062819
775.0998,0.4242594,0.7211726,-1.104739
775.1116,0.4199121,0.7164853,-1.147312
775.1223,0.4170766,0.7140456,-1.191229
775.1334,0.4139006,0.7186093,-1.238077
775.1442,0.4119542,0.7205148,-1.297492
775.1558,0.4123101,0.7257351,-1.34457
775.1666,0.4102611,0.7363418,-1.391275
775.1779,0.4123561,0.7479488,-1.437071
775.1896,0.413901,0.7564409,-1.481263
775.2004,0.4166473,0.7668111,-1.525663
775.2117,0.4250641,0.7887776,-1.56561
775.2229,0.4330425,0.808817,-1.609768
775.2337,0.4390389,0.8275169,-1.650175
775.2448,0.4464155,0.8467253,-1.685488
775.258,0.4570661,0.8634404,-1.724541
775.2674,0.4654364,0.8828306,-1.760346
775.2798,0.4793329,0.9044435,-1.791081
775.2905,0.4922761,0.9254488,-1.824788
775.3011,0.5074484,0.9501569,-1.854255
775.3126,0.5223607,0.9750385,-1.884589
775.324,0.5370914,0.9982538,-1.912323
775.3348,0.5538657,1.023053,-1.934979
775.346,0.5697324,1.047124,-1.958201
775.358,0.5853192,1.071203,-1.98139
775.3688,0.6024576,1.092724,-2.002597
775.3798,0.6192851,1.115922,-2.021684
775.3912,0.6378813,1.139798,-2.040614
775.4022,0.6546272,1.162626,-2.056346
775.4135,0.6717505,1.186097,-2.067254
775.4246,0.6904132,1.208065,-2.080778
781.4556,0.3067402,0.8578371,-0.7411621
781.4672,0.2839254,0.8499876,-0.7783253
781.4789,0.2623054,0.8427757,-0.8155138
781.4896,0.2404022,0.8381257,-0.8533628
781.5004,0.2362982,0.8424598,-0.8969626
781.5117,0.2260244,0.8437482,-0.9379082
781.5246,0.2182646,0.845651,-0.9786644
781.5342,0.2076612,0.8463006,-1.018871
781.5457,0.195447,0.8474157,-1.059651
781.5569,0.1874421,0.8511554,-1.099637
781.5675,0.1811838,0.8531408,-1.139923
781.5792,0.1758611,0.8555554,-1.180093
781.5899,0.1828868,0.8576473,-1.221473
781.6012,0.1836326,0.8634304,-1.262019
781.6124,0.1658959,0.8851172,-1.29677
781.6235,0.160977,0.8963975,-1.332741
781.6346,0.1634521,0.9037831,-1.373264
781.6459,0.1664979,0.9117957,-1.412388
781.6572,0.1739006,0.9238659,-1.451201
781.6681,0.1784098,0.9317439,-1.4907
781.6792,0.1886396,0.9456371,-1.52638
781.6917,0.2031159,0.9517014,-1.568231
781.7015,0.2151769,0.9682978,-1.602784
781.7126,0.2282445,0.9811515,-1.636445
781.7243,0.2408895,0.9927288,-1.66815
781.735,0.2531816,1.004296,-1.701979
781.7462,0.268037,1.014914,-1.73249
781.7578,0.2828987,1.025005,-1.760879
781.7692,0.2976533,1.035167,-1.791308
781.7797,0.3148643,1.044675,-1.819771
781.7922,0.3333492,1.056452,-1.844401
781.8021,0.3540748,1.069201,-1.86852
781.8136,0.3760402,1.081936,-1.890351
