Time,Ball X,Ball Y,Ball Z
567.5646,0.7693092,0.8889494,-0.9777079
567.5759,0.7773213,0.8978204,-0.989816
567.5872,0.7835388,0.9066797,-1.00157
567.5989,0.788995,0.9143584,-1.011604
567.6091,0.7912596,0.9233333,-1.021057
567.6212,0.7921177,0.9319586,-1.029431
567.6317,0.7908406,0.9384458,-1.035516
567.6429,0.788973,0.9451017,-1.041301
567.655,0.7876086,0.9511378,-1.047524
567.6657,0.7812845,0.9533452,-1.050271
567.6761,0.7774211,0.957137,-1.054877
567.6877,0.7712046,0.9590325,-1.057654
567.6984,0.7648237,0.9594637,-1.060548
567.71,0.7559133,0.9575158,-1.061168
567.7216,0.7484759,0.9567882,-1.063432
567.7325,0.7392249,0.9518319,-1.063458
567.7445,0.7307554,0.9486657,-1.064946
567.7549,0.7220232,0.9444797,-1.066126
567.7657,0.7126395,0.9373862,-1.066368
567.7773,0.7025102,0.9281809,-1.065844
567.79,0.6927102,0.920498,-1.065964
567.7992,0.6823815,0.9101553,-1.065207
567.8119,0.6716107,0.8990029,-1.064047
567.8219,0.660922,0.8880482,-1.06302
567.833,0.649317,0.8736517,-1.06052
567.8439,0.6375651,0.8609347,-1.058431
567.8553,0.6150085,0.8561647,-1.03049
567.8663,0.6023824,0.8463378,-1.029322
567.8773,0.5897603,0.8286109,-1.025392
567.8882,0.578213,0.8115181,-1.023345
567.9,0.5700582,0.8019094,-1.00988
567.9119,0.5621872,0.7955436,-1.010065
567.9221,0.5522357,0.7879434,-0.999083
567.9337,0.5360237,0.7641962,-1.021293
567.9444,0.4847575,0.781299,-0.9672613
567.9554,0.4721671,0.7780591,-0.987685
567.9667,0.4461369,0.7622765,-1.008179
567.978,0.4277959,0.7575778,-0.9960277
567.9891,0.4112337,0.7497345,-0.9964466
568.0003,0.390556,0.7562739,-1.004351
568.0114,0.3778319,0.7701513,-0.9967854
568.0226,0.3708901,0.7869029,-0.990052
568.0341,0.365213,0.8125441,-0.9857576
568.045,0.3549033,0.8198941,-0.9797554
