Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
2737.146,NO,1,1.233437,1.014874,0.3045027,1.073859,1.059304,0.5821149,0.3232765,NO,0.1881454,3.092253,1.055504,1.725162,-0.06342387,29.91572,0,NONE,1,POLE
2739.188,NO,2,-0.03901315,1.355819,0.424495,0.7685335,0.9984887,0.5347116,0.8899236,NO,1.356689,0.5884576,1.055504,1.725162,-0.06342387,72.87011,0,NONE,1,POLE
2742.014,NO,3,1.077806,0.8313568,0.2092352,1.065344,0.9761361,0.5017629,0.3266325,NO,0.3012992,4.164258,1.055504,1.725162,-0.06342387,17.01793,0,NONE,1,POLE
2745.891,NO,4,1.304966,4.345127,0.7352288,0.7736191,1.040343,0.5671394,3.351445,NO,0.1046363,2.42606,1.055504,1.725162,-0.06342387,162.2887,0,NONE,1,POLE
2747.007,NO,5,1.159732,0.7062546,0.5477059,0.7629788,1.044458,0.559025,0.521462,NO,1.423396,1.410628,1.055504,1.725162,-0.06342387,31.31841,0,NONE,1,POLE
2749.688,NO,6,1.038838,0.9082788,0.2558737,1.093915,1.009035,0.5794003,0.3432997,NO,0.3960826,5.692677,1.055504,1.725162,-0.06342387,21.37562,0,NONE,1,POLE
2752.403,NO,7,2.075532,5.43681,0.9624101,0.7419956,1.072303,0.6032469,4.577799,NO,0.1599733,3.794425,1.055504,1.725162,-0.06342387,158.7062,0,NONE,1,POLE
2755.196,NO,8,1.11774,0.881127,0.2672129,1.119577,0.9534577,0.5908482,0.3316247,YES,0,3.659733,1.055504,1.725162,-0.06342387,21.73286,10,NONE,1,POLE
2758.558,NO,9,0.1752608,1.273858,0.4826815,0.7582421,1.018268,0.582514,0.6443291,NO,0.1453664,0.6170298,1.055504,1.725162,-0.06342387,66.45869,10,NONE,1,POLE
2760.882,NO,10,1.091924,0.9166524,0.3243556,1.104772,0.9487588,0.6632476,0.3406518,NO,0.1093342,4.035974,1.055504,1.725162,-0.06342387,25.72166,10,NONE,1,POLE
2764.49,NO,11,1.200479,0.9766891,0.2745507,1.155172,0.9852694,0.5955117,0.3242565,YES,0,3.457709,1.055504,1.725162,-0.06342387,26.16682,20,NONE,1,POLE
2766.701,NO,12,1.151201,0.9326183,0.3823807,1.12897,1.030035,0.6884861,0.3220011,YES,0,4.656198,1.055504,1.725162,-0.06342387,29.91234,30,NONE,1,POLE
2768.767,NO,13,1.067624,0.9408598,0.3391623,1.121413,0.963589,0.6457026,0.3120525,YES,0,3.308033,1.055504,1.725162,-0.06342387,27.18219,40,NONE,1,POLE
2770.847,NO,14,0.4715278,1.178239,0.581835,0.7515106,1.073287,0.6100767,0.3003379,YES,0,0.6619322,1.055504,1.725162,-0.06342387,57.85286,50,NONE,1,POLE
2772.857,NO,15,1.043847,0.9251654,0.3701568,1.101323,0.9680084,0.691267,0.329015,NO,0.1345603,12.33695,1.055504,1.725162,-0.06342387,28.46539,50,NONE,1,POLE
2774.99,NO,16,1.09736,0.9742683,0.407464,1.113343,0.9620355,0.726909,0.3200785,YES,0,2.730104,1.055504,1.725162,-0.06342387,32.19351,60,NONE,1,POLE
2776.979,NO,17,1.068189,0.8168941,0.5575044,0.8494211,1.032953,0.577889,0.3081503,YES,0,4.044985,1.055504,1.725162,-0.06342387,34.36363,70,NONE,1,POLE
2778.677,NO,18,1.034336,1.047888,0.3914618,1.109998,1.004474,0.6830497,0.3043565,YES,0,4.097581,1.055504,1.725162,-0.06342387,33.91563,80,NONE,1,POLE
2780.553,NO,19,1.137958,0.9716541,0.3991847,1.111074,0.9918299,0.7046465,0.3073055,YES,0,3.490412,1.055504,1.725162,-0.06342387,31.9483,90,NONE,1,POLE
2782.397,NO,20,1.131032,0.9284236,0.3384578,1.125332,0.9939514,0.6664307,0.3345035,NO,0.1312156,4.449656,1.055504,1.725162,-0.06342387,27.16867,90,NONE,1,POLE
2784.25,NO,21,1.152548,1.23248,1.445527,1.041256,0.9565685,0.6297274,0.868356,NO,0.09462076,3.25694,1.055504,1.725162,-0.06342387,71.95266,90,NONE,1,POLE
2785.826,NO,22,2.191202,1.252982,0.3259966,1.141604,0.9609314,0.6426661,1.134561,YES,0,4.063318,1.055504,1.725162,-0.06342387,68.53107,100,NONE,1,POLE
2788.472,NO,23,0.4223686,1.184053,0.5346379,0.7562666,1.04203,0.582504,0.3659911,YES,0,0.1252213,1.055504,1.725162,-0.06342387,58.14759,110,NONE,1,POLE
2790.384,NO,24,0.6390028,1.129291,0.4542847,1.020521,1.005255,0.632997,0.4391796,NO,0.09264159,15.86501,1.055504,1.725162,-0.06342387,48.11464,110,NONE,1,POLE
2792.417,NO,25,1.138365,0.7435551,0.5645854,0.9733227,0.9899359,0.6439896,0.3069974,YES,0,3.623694,1.055504,1.725162,-0.06342387,32.83502,120,NONE,1,POLE
