Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
518.1118,YES,1,0.6259633,1.014929,-1.459286,0.8793294,1.172478,-0.3712335,1.128218,NO,0.5870259
526.5226,YES,2,0.2897789,1.305982,-0.1602967,0.9078692,1.150848,-0.4071434,0.6833997,NO,0.3769764
529.4379,YES,3,0.9043519,1.025818,-0.4839733,0.8545859,1.023836,-0.5326564,0.06964651,NO,0.6075033
531.929,YES,4,1.164107,1.296232,0.03302789,0.9184512,1.11756,-0.4789298,0.5952907,NO,0.3571257
534.2991,YES,5,0.9785328,1.103627,-0.3907723,0.9261085,1.121663,-0.4883561,0.1122328,NO,0.3876163
537.5031,YES,6,0.9527431,1.092802,-0.4217267,0.8767497,1.098581,-0.4999263,0.1091952,NO,0.1812717
539.9388,YES,7,0.9489263,1.086295,-0.4330485,0.8656307,1.099021,-0.527174,0.1263318,NO,0.1416271
542.3289,YES,8,1.053815,1.233161,-0.2391131,0.8933913,1.138466,-0.4490542,0.2806744,NO,0.2386528
544.4622,YES,9,0.7700089,0.966767,-0.5658948,0.7570305,0.9830819,-0.6143494,0.05274901,NO,0.3150475
547.9586,YES,10,0.8761232,1.134385,-0.337836,0.8040842,1.110567,-0.4649758,0.1480588,YES,0
552.6057,YES,11,0.8212993,1.048271,-0.4797332,0.8009819,1.064825,-0.4845574,0.02664747,YES,0
555.4542,YES,12,0.9573995,1.099717,-0.4271715,0.8693301,1.096047,-0.4597249,0.09396495,NO,0.176404
558.9949,YES,13,0.8804163,1.09028,-0.4283998,0.8327782,1.106324,-0.4600685,0.05941129,NO,0.1223909
563.2736,YES,14,0.8087969,0.9953264,-0.5148866,0.7847332,1.037122,-0.5561712,0.06348509,NO,0.2544873
565.8322,YES,15,0.9181086,1.071561,-0.4424617,0.8404806,1.093731,-0.5112376,0.1060554,YES,0
569.9764,YES,16,0.8994725,1.055715,-0.4563129,0.8384208,1.079844,-0.5405412,0.106789,YES,0
574.0309,YES,17,0.8931581,1.041649,-0.4821696,0.8367109,1.069086,-0.5355818,0.08241306,YES,0
580.1076,YES,18,1.000977,1.138562,-0.4204903,0.8753029,1.114711,-0.4610753,0.1342017,NO,0.1767559
583.3355,YES,19,0.7943057,1.03022,-0.4921625,0.7532991,1.042594,-0.4938262,0.04286516,YES,0
588.6754,YES,20,0.9254344,1.096308,-0.4339602,0.8480492,1.103545,-0.4408402,0.07802679,YES,0
595.7804,YES,21,0.9347758,1.019671,-0.5195196,0.8842074,1.043768,-0.5506785,0.06409914,NO,0.3269584
599.7794,YES,22,0.8407798,1.012135,-0.5144093,0.7927552,1.026694,-0.5142479,0.05018329,YES,0
605.0067,YES,23,0.851339,1.096755,-0.3472035,0.7722976,1.037627,-0.5191586,0.1982731,YES,0
609.218,YES,24,0.8811212,0.9704268,-0.5716004,0.841915,1.037532,-0.5927823,0.08055358,YES,0
611.5754,YES,25,0.8639297,0.9332656,-0.731838,0.901758,1.065578,-0.5998476,0.1906807,NO,0.1788438
