Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
57.37445,YES,1,0.9820616,1.041926,-0.5589082,0.9740692,1.174935,-0.4719665,0.1591044,NO,0.1140808
59.96667,YES,2,0.8905269,1.124999,-0.452188,0.8690788,1.147323,-0.5785005,0.1300508,NO,0.1733373
63.70793,YES,3,0.9085882,2.812908,-0.2177956,0.6904645,1.197386,-0.4901392,1.652773,YES,0
68.25455,YES,4,1.812244,0.7568195,-0.47662,0.6904645,1.197386,-0.4901392,1.205269,NO,1.60278
72.15355,YES,5,0.9048601,1.15148,-0.3159025,0.9287745,1.099,-0.4886734,0.1821426,NO,0.2856162
78.9118,YES,6,1.085679,1.095303,-0.3282502,0.7853801,1.160458,-0.458029,0.3335668,NO,1.579986
82.05017,YES,7,0.8724102,1.183881,-0.2951763,0.9800926,1.010499,-0.3881607,0.2242828,YES,0
92.26075,YES,8,0.9653037,1.151214,-0.3588574,0.8776788,1.162898,-0.4259722,0.1109912,NO,0.2739779
95.16455,YES,9,0.8798665,1.216842,-0.2826667,1.101608,1.295382,0.1658399,0.5064543,NO,0.1634239
101.3873,YES,10,1.05107,1.049164,-0.4114587,0.9519867,1.115914,-0.4599833,0.1289488,YES,0
122.6777,YES,11,0.8823211,1.20764,-0.3212759,1.005985,1.205279,-0.3598778,0.1295703,NO,0.2632131
131.6808,YES,12,1.015137,1.02805,-0.4595463,1.178759,1.000579,-0.559299,0.1935908,NO,0.197731
134.8421,YES,13,0.9876068,1.208606,-0.3860755,1.063434,1.230077,-0.4828835,0.1248304,NO,0.1429879
137.6686,YES,14,0.9184292,1.188427,-0.347898,0.9629327,1.078457,-0.6739285,0.3469435,NO,0.4457102
140.2713,YES,15,1.167368,1.037596,-0.4614737,0.887343,0.8725923,-1.521879,1.109099,NO,1.480491
142.4046,YES,16,0.9453429,1.17146,-0.3750231,0.7707406,1.349407,-0.02278066,0.4315391,NO,0.4069351
149.7008,YES,17,1.012645,1.069556,-0.4382308,0.6966301,1.346253,0.0439837,0.6394975,NO,1.512309
151.9782,YES,18,0.8483282,1.201085,-0.3595965,1.014886,1.397902,0.05798769,0.4907697,NO,0.07970439
159.0939,YES,19,1.033442,1.023295,-0.4785042,0.3974905,1.06549,-4.228822,3.80409,YES,0
180.15,YES,20,1.138409,0.8911679,-1.371692,1.100221,1.096502,-0.985275,0.439248,YES,0
183.1106,YES,21,0.9845983,1.036977,-0.4693773,0.9126796,1.150432,-0.4945459,0.1366666,YES,0
190.8849,YES,22,1.080508,1.089882,-0.4452705,1.162532,1.172838,-0.3985684,0.1256604,YES,0
193.4893,YES,23,0.9417978,1.200278,-0.3686926,1.043402,1.232445,-0.340095,0.1103449,NO,0.1159282
196.3367,YES,24,0.9267899,1.114214,-0.4515131,1.044298,1.152558,-0.4490385,0.1236308,YES,0
199.2856,YES,25,0.8346959,1.103678,-0.4562378,0.9292327,1.168558,-0.466661,0.115131,YES,0
