Time,Ball X,Ball Y,Ball Z
15.40802,-1.111,0,0
15.42802,0.09280825,1.20296,-0.07659519
15.4372,0.09364998,1.204116,-0.07595742
15.44593,0.09432435,1.20515,-0.07517338
15.45679,0.09512317,1.206096,-0.07455075
15.468,0.09594882,1.207088,-0.07415807
15.47885,0.0966574,1.208101,-0.07362247
15.49011,0.09740591,1.20911,-0.0733068
15.50109,0.0980866,1.210244,-0.07290542
15.51255,0.09863305,1.211569,-0.0726167
15.52371,0.09901047,1.21283,-0.07222044
15.53446,0.09946072,1.213937,-0.07228816
15.54569,0.09973347,1.215191,-0.07211399
15.55671,0.09994102,1.216314,-0.07192552
15.56817,0.1000527,1.217351,-0.07182133
15.57948,0.1002902,1.218522,-0.0716629
15.59049,0.1004097,1.219343,-0.0717181
15.6015,0.1004139,1.220489,-0.07157123
15.61281,0.1003609,1.221903,-0.07137203
15.62397,0.100119,1.223086,-0.07115078
15.63528,0.09990394,1.224313,-0.07096803
15.64617,0.09971786,1.225527,-0.07068002
15.65738,0.09940255,1.226552,-0.07046854
15.66864,0.09918511,1.22743,-0.07025671
15.6808,0.09907055,1.228162,-0.07005966
15.69091,0.09889376,1.228621,-0.07000995
15.70223,0.09867871,1.229096,-0.06990767
15.71335,0.09835994,1.229635,-0.06986582
15.7248,0.09804082,1.230037,-0.06992292
15.73591,0.09769666,1.230379,-0.07007694
15.74684,0.09736061,1.230709,-0.07025981
15.75823,0.097,1.230816,-0.07057965
15.76921,0.09650385,1.230985,-0.07092047
15.78021,0.09589946,1.231342,-0.07120323
15.79164,0.09545815,1.231358,-0.07151139
15.80282,0.09491587,1.231191,-0.0718416
15.81384,0.09455383,1.231288,-0.07213628
15.82493,0.09408903,1.231161,-0.07248521
15.8362,0.09358323,1.23108,-0.0726521
15.84745,0.09296036,1.23108,-0.07287228
15.85841,0.0924902,1.230923,-0.07304919
15.8698,0.09192359,1.23086,-0.07328343
15.88076,0.0912627,1.230897,-0.07345819
15.89204,0.09071648,1.230768,-0.07365847
15.90351,0.09007895,1.230589,-0.07394183
15.9144,0.08948267,1.230315,-0.07401812
15.92568,0.08905339,1.229763,-0.07417786
15.93669,0.08860719,1.229393,-0.07437611
15.94796,0.08814752,1.228867,-0.07454312
15.95903,0.08755076,1.228195,-0.07496369
15.9702,0.0869211,1.227685,-0.07531512
