Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
4083.385,NO,1,1.30488,1.100264,0.3343587,1.167205,1.174426,0.6089034,0.3159576,NO,0.1984279,4.522604,0.861821,1.817037,0.03244352,36.79654,0,NONE,1,POLE
4095.237,NO,2,1.142152,0.9715117,0.2865984,1.114069,1.141632,0.5651705,0.3276154,NO,0.2506124,2.608189,0.861821,1.817037,0.03244352,24.10958,0,NONE,1,POLE
4100.028,NO,3,1.385104,1.171667,0.2309532,1.172591,1.203957,0.4770916,0.3267847,NO,0.2358063,3.190099,0.861821,1.817037,0.03244352,40.93211,0,NONE,1,POLE
4106.062,NO,4,1.369728,1.135556,0.2310269,1.188201,1.233706,0.4778519,0.3217269,YES,0,3.642202,0.861821,1.817037,0.03244352,38.66817,10,NONE,1,POLE
4110.373,NO,5,1.266186,1.063505,0.2112792,1.180933,1.133796,0.5108392,0.3192887,YES,0,3.455978,0.861821,1.817037,0.03244352,30.40288,20,NONE,1,POLE
4115.801,NO,6,1.248572,0.6256924,0.4757645,0.823737,0.9559573,0.4787595,0.5381159,NO,0.1166994,1.310307,0.861821,1.817037,0.03244352,26.28113,20,NONE,1,POLE
4119.578,NO,7,1.344367,1.032925,0.1678033,1.28127,1.106842,0.470819,0.3182191,NO,0.1158501,3.94944,0.861821,1.817037,0.03244352,32.58499,20,NONE,1,POLE
4174.749,NO,8,0.2074094,1.257882,0.4696603,0.8175092,1.000886,0.5412083,0.6658739,YES,0,3.77183,0.861821,1.817037,0.03244352,54.60758,30,NONE,1,POLE
4174.927,NO,9,1.038789,0.9315913,-0.5470438,0.8793471,0.8403102,0.5454087,1.107794,NO,0.6173893,0.2230963,0.861821,1.817037,0.03244352,34.38367,30,NONE,1,POLE
4175.105,NO,10,1.054614,0.9213774,-0.5285683,0.8747492,0.828998,0.5482562,1.095644,NO,0.6387643,0.06830665,0.861821,1.817037,0.03244352,33.51735,30,NONE,1,POLE
4175.284,NO,11,1.047074,0.916881,-0.5292478,0.8966604,0.8252521,0.5658214,1.109142,NO,0.6197492,0.119726,0.861821,1.817037,0.03244352,33.30713,30,NONE,1,POLE
4175.475,NO,12,1.027086,0.9144037,-0.5424416,0.9099064,0.8223772,0.5656683,1.118082,NO,0.5927453,0.157249,0.861821,1.817037,0.03244352,33.53214,30,NONE,1,POLE
4175.654,NO,13,1.004141,0.9166687,-0.5613685,0.90862,0.822157,0.5548806,1.124308,NO,0.5674712,0.1908488,0.861821,1.817037,0.03244352,34.14507,30,NONE,1,POLE
4175.843,NO,14,0.9832103,0.9242392,-0.5750759,0.9041731,0.8198273,0.5516348,1.134295,NO,0.5499257,0.1259266,0.861821,1.817037,0.03244352,34.75746,30,NONE,1,POLE
4176.022,NO,15,0.9689741,0.9313225,-0.5838225,0.8906752,0.8174392,0.5466671,1.138906,NO,0.5365041,0.1080937,0.861821,1.817037,0.03244352,35.23062,30,NONE,1,POLE
