Time,Ball X,Ball Y,Ball Z
67.59844,0.8535932,0.9279073,-1.046887
67.60907,0.8667263,0.9155095,-1.062314
67.6204,0.8797111,0.9019442,-1.079476
67.63128,0.8696942,0.9011977,-1.086501
67.64299,0.8820854,0.8878883,-1.105374
67.65366,0.8940238,0.8759035,-1.125641
67.66483,0.9251738,0.8539224,-1.154635
67.67618,0.9096861,0.8595877,-1.165673
67.68726,0.9208521,0.8496437,-1.187144
67.69839,0.9451137,0.8309383,-1.215693
67.70973,0.9558154,0.8205471,-1.238537
67.72115,0.9655805,0.8116044,-1.26294
67.73245,0.9877549,0.7957038,-1.2909
67.74296,0.9980145,0.7847648,-1.31645
67.75436,1.006526,0.7787035,-1.343643
67.76552,1.008226,0.7806196,-1.36976
67.77663,1.023934,0.7724215,-1.400681
67.78796,1.028371,0.770646,-1.427354
67.80098,1.038434,0.7673844,-1.457008
67.80984,1.045827,0.7634903,-1.486636
67.82122,1.052735,0.7599392,-1.516316
67.83241,1.059189,0.7565051,-1.546783
67.84361,1.062429,0.7586226,-1.574827
67.85464,1.066772,0.7580603,-1.604788
67.86588,1.069508,0.7622449,-1.634487
67.87713,1.068648,0.7682588,-1.66151
67.88828,1.072493,0.7706363,-1.690996
67.89927,1.073819,0.77387,-1.719772
67.91074,1.076325,0.7770783,-1.748541
67.92177,1.07818,0.7802516,-1.776314
67.93307,1.078054,0.7848493,-1.804371
67.9445,1.078391,0.7906667,-1.831988
67.95542,1.077385,0.7979872,-1.857899
67.96649,1.077229,0.8062085,-1.885554
67.97765,1.076663,0.8141062,-1.911684
67.98885,1.075008,0.8221831,-1.937163
67.99998,1.069949,0.83162,-1.96204
68.01117,1.067206,0.8397591,-1.986846
68.0225,1.064632,0.8478249,-2.012133
68.03367,1.060321,0.8563426,-2.035599
68.04578,1.055162,0.8658834,-2.05758
68.05576,1.050991,0.8754785,-2.079255
68.06731,1.045837,0.8855484,-2.099711
68.07923,1.038624,0.896476,-2.118225
68.08989,1.033034,0.9069391,-2.136679
68.10138,1.027528,0.9168607,-2.155311
68.11236,1.019181,0.9273677,-2.171123
68.12359,1.012349,0.9373294,-2.186285
68.13472,1.005882,0.9470764,-2.202405
68.14587,0.995214,0.9581071,-2.214021
68.15701,0.9873949,0.9682057,-2.226734
68.16817,0.9791243,0.9781523,-2.238235
68.17966,0.9654182,0.9906193,-2.245876
68.19061,0.9563705,0.9997951,-2.254781
68.20272,0.9478573,1.008665,-2.26493
68.21313,0.9354558,1.018248,-2.27088
68.22394,0.9261066,1.026044,-2.278579
68.2351,0.9166417,1.033558,-2.286073
68.24667,0.9041886,1.040363,-2.28935
68.25745,0.8947464,1.046841,-2.295826
68.26854,0.8848143,1.051911,-2.300512
68.27972,0.8732631,1.057349,-2.3041
68.29166,0.8635218,1.060454,-2.307061
68.30331,0.8537784,1.063957,-2.310652
68.31383,0.8420112,1.066323,-2.312086
68.32462,0.8317988,1.067747,-2.313026
68.33559,0.8224779,1.067249,-2.316146
68.34715,0.8109902,1.067257,-2.315945
68.35843,0.8019103,1.06565,-2.317721
68.36893,0.7917435,1.063752,-2.317234
68.38057,0.7801276,1.061924,-2.314931
68.39162,0.7703047,1.058704,-2.313303
68.40282,0.7608157,1.053931,-2.312884
68.41367,0.7498916,1.050278,-2.308694
68.42562,0.7421356,1.045257,-2.30841
68.43602,0.7307472,1.040503,-2.302202
68.4472,0.7207592,1.035155,-2.295897
68.45907,0.7126176,1.029032,-2.29227
68.46974,0.7017994,1.022725,-2.28352
68.48064,0.6924329,1.015888,-2.274644
68.49214,0.6839998,1.008469,-2.26641
68.50426,0.6743649,1.001248,-2.256371
68.51416,0.665221,0.993735,-2.244529
68.52528,0.6570065,0.9849255,-2.233182
68.53652,0.6484252,0.9760311,-2.220129
68.5479,0.6397161,0.9669429,-2.206171
68.55904,0.5906732,0.9823573,-2.168289
68.57009,0.5835945,0.9730126,-2.15299
68.58196,0.5771406,0.9621621,-2.134511
68.59229,0.5705461,0.9515891,-2.118093
68.6039,0.5641432,0.9403073,-2.101443
68.61481,0.5579724,0.9289134,-2.080669
68.62604,0.5527819,0.9179488,-2.061396
68.63784,0.5477549,0.9069793,-2.04147
68.64835,0.5414597,0.8964809,-2.018517
68.65982,0.537557,0.8862382,-1.996704
68.67165,0.5338523,0.8758063,-1.973983
68.68179,0.5291454,0.8671672,-1.946508
68.69368,0.5270528,0.8591228,-1.921124
68.7044,0.5244444,0.8499414,-1.896616
68.71543,0.5218595,0.8424125,-1.870352
68.72688,0.5225982,0.8362423,-1.840554
68.73791,0.5225886,0.829519,-1.812084
68.74882,0.5239685,0.8242683,-1.782124
68.75992,0.5260749,0.8198229,-1.751531
68.77107,0.5288796,0.8161043,-1.720282
68.78239,0.5315761,0.8121314,-1.68929
68.79353,0.5362099,0.8098917,-1.656976
68.80565,0.5400847,0.806923,-1.625252
68.81602,0.5452236,0.8052155,-1.59279
68.82727,0.5507823,0.8038547,-1.560361
68.83863,0.5563219,0.802297,-1.527913
68.84954,0.5631174,0.8020473,-1.495088
68.86044,0.570581,0.8025973,-1.461976
68.87159,0.5786543,0.8037952,-1.428789
68.8833,0.5866485,0.8049821,-1.395852
68.89407,0.5965741,0.808821,-1.362913
68.90501,0.6057627,0.811821,-1.330201
68.91666,0.5785164,0.8208647,-1.287144
68.92806,0.5856016,0.8433429,-1.265151
68.9389,0.5948511,0.8508317,-1.233603
68.94996,0.6034248,0.859885,-1.20061
68.96109,0.6130036,0.8696406,-1.168967
68.97238,0.609055,0.839937,-1.218292
68.98337,0.6184176,0.8485147,-1.191128
68.99474,0.6285936,0.8619788,-1.164637
69.00645,0.6388704,0.8704805,-1.13966
69.01707,0.6479726,0.8813697,-1.114062
69.02808,0.6576488,0.8891088,-1.096241
69.03952,0.668611,0.8979728,-1.073312
69.0508,0.6774664,0.9074838,-1.053123
69.06227,0.6871244,0.9137552,-1.041697
69.07282,0.6986406,0.9232652,-1.022388
69.08408,0.7081863,0.9311925,-1.007862
69.09575,0.7183298,0.9377922,-0.9973552
69.1062,0.7301757,0.9474634,-0.9818363
69.11755,0.7404213,0.9556348,-0.9708357
69.12909,0.7511826,0.9631845,-0.9642665
69.13993,0.7632102,0.9729819,-0.9525607
69.15119,0.773487,0.9812309,-0.9431143
69.16228,0.7843438,0.9886714,-0.9391241
69.17356,0.7964167,0.9980054,-0.9319499
69.1847,0.8067226,1.00621,-0.9251022
69.19597,0.816604,1.013993,-0.9248505
69.20708,0.8198497,0.9963619,-0.9189095
69.21801,0.8266553,0.9893531,-0.9369311
69.22945,0.8310607,0.9846168,-0.9464242
69.24075,0.830254,0.9854321,-0.9320879
69.2516,0.8322402,0.9899025,-0.9301603
69.26283,0.835859,0.9913226,-0.9357641
69.27406,0.8384475,0.9953095,-0.9270651
69.28511,0.8381348,1.00216,-0.916899
69.29625,0.8363783,1.006082,-0.9158275
69.3083,0.8359808,1.008159,-0.9100952
69.3187,0.8340976,1.013049,-0.9036028
69.32973,0.8330019,1.013697,-0.903609
69.34145,0.8325456,1.015284,-0.9012477
69.35239,0.8300518,1.018468,-0.8974047
69.36337,0.8284589,1.01885,-0.8980877
69.37474,0.827333,1.020784,-0.8959067
69.38548,0.8244185,1.02379,-0.8935366
69.39712,0.8229317,1.025641,-0.8914092
69.40813,0.8198288,1.02784,-0.8893352
69.4192,0.8183016,1.030307,-0.8882599
69.43023,0.8168043,1.032442,-0.8866694
69.44141,0.8141912,1.034204,-0.8842933
69.45304,0.8122977,1.036082,-0.8821073
69.46481,0.810225,1.038415,-0.881043
69.47514,0.8079278,1.040048,-0.8788371
69.48609,0.8039389,1.041673,-0.8767648
69.49738,0.8012457,1.043748,-0.8756652
69.50931,0.7969479,1.045417,-0.87376
69.51915,0.7936895,1.047305,-0.8727167
69.53072,0.7905553,1.048935,-0.870713
69.54158,0.7854733,1.050298,-0.8688502
69.55272,0.7816727,1.051648,-0.8668759
69.56509,0.7775298,1.053641,-0.86604
69.5752,0.7736814,1.055063,-0.864238
69.58605,0.7677253,1.056198,-0.8623803
69.59743,0.7632002,1.05784,-0.8616712
69.60841,0.7568533,1.058969,-0.8600585
70.21206,0.9830299,0.9473047,-1.02226
70.22353,0.9936524,0.9364963,-1.03991
70.23442,1.004055,0.9277055,-1.05497
70.24572,1.012908,0.9161128,-1.077631
70.25742,1.022259,0.9064422,-1.097711
70.2679,1.02853,0.8791015,-1.15786
70.2789,1.036705,0.8716444,-1.176934
70.2898,1.043896,0.8643509,-1.200809
70.30273,1.051077,0.8566614,-1.22388
70.31351,1.057716,0.8500663,-1.244553
70.32352,1.063854,0.8456776,-1.269456
70.33506,1.069442,0.8370478,-1.297696
70.34698,1.073921,0.8312413,-1.321837
70.35704,1.078436,0.8289031,-1.34819
70.36812,1.081517,0.8230807,-1.378341
70.37996,1.083394,0.8208188,-1.403832
70.39027,1.086075,0.8199319,-1.430279
70.40192,1.087476,0.816406,-1.46001
70.41307,1.088485,0.8150605,-1.486117
70.42387,1.090071,0.8140596,-1.513001
