Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
223.5528,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.564,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.5763,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.5865,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.5976,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6087,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6199,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6323,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6429,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6532,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6647,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6759,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.6871,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.699,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7098,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7213,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7315,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7435,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7538,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.765,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7765,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7874,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.7995,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8098,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8216,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8324,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8436,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8544,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8657,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8769,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.8879,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.899,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9103,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9218,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9328,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9447,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.955,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9663,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9774,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9885,1,-1.111,0,0,0,0,0,0,0,0,0,0
223.9996,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.011,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.0223,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.0332,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.0444,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.0555,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.067,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.0796,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.0896,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1004,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1118,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1229,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1339,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1454,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1562,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1675,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1788,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.1899,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2012,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2122,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2238,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2342,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2464,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2571,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2679,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2791,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.2905,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3015,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3128,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3236,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.335,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3463,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3575,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3685,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3798,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.3908,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.402,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.413,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4246,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4354,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4467,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4579,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4692,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4802,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.4914,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5027,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5137,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5249,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.536,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5472,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5585,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5696,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.582,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.5918,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6031,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6144,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6255,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6366,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6478,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6587,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.67,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6812,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.6924,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7037,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7149,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7258,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7372,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7483,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7594,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7706,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.7818,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.793,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8041,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8153,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8267,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8375,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8486,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8605,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8715,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8822,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.8935,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.9045,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.916,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.9268,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.938,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.9501,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.9608,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.9716,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.983,1,-1.111,0,0,0,0,0,0,0,0,0,0
224.9939,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0053,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0165,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0277,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0387,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0504,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0611,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0721,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0844,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.0946,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1058,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.117,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1282,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1394,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1503,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.162,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1729,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1841,1,-1.111,0,0,0,0,0,0,0,0,0,0
225.1954,1,-1.111,0,0,0,0,0,0,0,0,0,0
