Time,Ball X,Ball Y,Ball Z
19.90753,-0.1175409,1.325591,-0.2569553
19.91924,-0.1595529,1.294069,-0.2337876
19.9297,-0.2002473,1.261214,-0.2105666
19.94313,-0.2778879,1.191673,-0.164125
19.9521,-0.2778879,1.191673,-0.164125
19.96305,-0.3150682,1.155137,-0.1410152
19.97431,-0.3512798,1.117523,-0.1180216
19.98558,-0.3865145,1.078908,-0.09512036
19.99656,-0.4206719,1.039394,-0.07224496
20.0081,-0.4535683,0.9991155,-0.04929648
20.01904,-0.4849172,0.9582675,-0.02615115
20.03019,-0.5142732,0.9171407,-0.002657659
20.0415,-0.540965,0.8761868,0.0213754
20.05363,-0.5823392,0.7981775,0.07211882
20.06369,-0.5823392,0.7981775,0.07211882
20.07621,-0.6001107,0.7377887,0.1292279
20.08635,-0.6001107,0.7377887,0.1292279
20.0974,-0.5997735,0.7219173,0.1621708
20.10906,-0.590524,0.721757,0.2415261
20.11974,-0.590524,0.721757,0.2415261
20.13084,-0.5840324,0.7309515,0.2871506
20.14186,-0.5768621,0.7420318,0.334937
20.15319,-0.5694014,0.7531705,0.3838294
20.16424,-0.5618193,0.7638339,0.4336112
20.1754,-0.5539067,0.7742008,0.4845932
20.18661,-0.5453104,0.7844215,0.5369749
20.19795,-0.5253302,0.8038471,0.64538
20.20992,-0.5138408,0.8126798,0.7010365
20.22,-0.5012,0.8209434,0.7575802
20.23166,-0.4870833,0.8289648,0.8150074
20.24316,-0.4709354,0.8373498,0.8731905
20.25416,-0.4519561,0.8469667,0.9316524
20.26501,-0.4291553,0.8588679,0.9891451
20.27687,-0.4016428,0.8739142,1.043527
20.28794,-0.3690539,0.8922654,1.092023
20.29869,-0.3318388,0.9131318,1.132043
20.31023,-0.2915097,0.9348681,1.163046
20.32075,-0.2497265,0.9560765,1.186748
20.33238,-0.2074172,0.976127,1.204983
20.34353,-0.1649701,0.9948251,1.218931
20.35474,-0.1226037,1.012144,1.229259
20.36668,-0.08056401,1.028139,1.236223
20.37683,-0.03912295,1.042958,1.240112
20.38831,0.001443528,1.056854,1.240972
20.39941,0.04092645,1.070147,1.23894
20.41052,0.07915744,1.083143,1.234207
20.42154,0.1160777,1.096001,1.227154
20.43308,0.151685,1.108774,1.218223
20.44395,0.1860354,1.121435,1.207885
20.45602,0.2192331,1.133913,1.196578
20.46627,0.2514227,1.146102,1.184677
20.47746,0.282753,1.157888,1.172471
20.48891,0.3133545,1.16917,1.160165
20.50003,0.3433209,1.179871,1.147893
20.51093,0.3727038,1.18995,1.135725
20.5223,0.4015294,1.199385,1.12369
20.53427,0.4297892,1.208182,1.11177
20.54434,0.4574203,1.21637,1.099903
20.55746,0.4843057,1.223998,1.088005
20.56722,0.5101724,1.231181,1.0759
20.58061,0.5346269,1.238038,1.063276
20.58922,0.5571519,1.244627,1.049605
20.60038,0.5771459,1.250835,1.034136
20.61145,0.5940307,1.256196,1.015943
20.6228,0.6075603,1.259971,0.9943235
20.63399,0.6183057,1.261503,0.9694656
20.64507,0.6272889,1.260644,0.9422732
20.65604,0.6352109,1.257532,0.9134765
20.66771,0.6424285,1.252272,0.8834621
20.67895,0.6491607,1.244962,0.8524677
20.68978,0.6554902,1.235664,0.8205908
20.70133,0.6614455,1.224447,0.7879231
20.71222,0.6669362,1.211353,0.7544908
20.72316,0.6716065,1.196398,0.7201554
20.73445,0.6748777,1.17967,0.6847283
20.74587,0.6761014,1.161404,0.6481466
20.7568,0.6749018,1.141903,0.6105881
20.76788,0.6712236,1.121426,0.5723792
20.78002,0.6650649,1.100132,0.5338508
20.79049,0.656402,1.078105,0.4953274
20.80159,0.6450831,1.055419,0.4571617
20.81256,0.6310316,1.032106,0.4197288
20.82474,0.6142157,1.008155,0.3833749
20.83565,0.5946008,0.9835264,0.3484331
20.84637,0.5723049,0.958179,0.3151827
20.85748,0.5475656,0.9321171,0.2838286
20.86857,0.5207084,0.905399,0.2544596
20.87969,0.4919796,0.8781658,0.2271577
20.89081,0.4615035,0.8506785,0.2020651
20.90268,0.4293102,0.8233529,0.1793945
20.9133,0.3953797,0.7967755,0.1594146
20.92449,0.3597082,0.7716477,0.142372
20.9357,0.3223765,0.7485826,0.128333
20.94704,0.2834336,0.7281331,0.1173241
20.95829,0.2429032,0.7107362,0.1092896
20.96897,0.2007535,0.6966634,0.1040826
20.9802,0.1569516,0.6859485,0.1014744
20.99141,0.1116338,0.678349,0.1012127
21.00243,0.06511659,0.6735431,0.1031367
21.01366,0.01775943,0.6712983,0.107219
21.02475,-0.03009178,0.671531,0.1135778
21.03609,-0.07804305,0.6743213,0.1224976
21.04712,-0.1255781,0.679841,0.1344096
21.05853,-0.1719466,0.6882593,0.149825
21.06956,-0.2162673,0.6996083,0.169175
21.08217,-0.2576677,0.7136653,0.1926738
21.09226,-0.2956185,0.7298472,0.2200855
21.1031,-0.3299658,0.7474099,0.2507304
21.1148,-0.3606915,0.7657489,0.2837636
21.12557,-0.3879232,0.7844502,0.3183766
21.13704,-0.4117298,0.8033276,0.3539718
21.1489,-0.431985,0.8223633,0.3901087
21.16018,-0.4486315,0.8415326,0.4263597
21.17011,-0.4617715,0.8607355,0.4623364
21.1814,-0.4716437,0.8798126,0.4977595
21.19276,-0.4784861,0.8986067,0.5324296
21.2036,-0.4825194,0.9169779,0.5661696
21.21486,-0.4838265,0.9348369,0.5987809
21.2262,-0.482468,0.9521121,0.6300893
21.23763,-0.4784836,0.9687288,0.6599413
21.24831,-0.4720435,0.9845845,0.6882838
21.25987,-0.4632864,0.9995826,0.7150792
21.27073,-0.4523597,1.01363,0.7403454
21.28173,-0.4393398,1.02663,0.7640755
21.29312,-0.4243391,1.038464,0.7862791
21.3046,-0.4074981,1.048977,0.8069205
21.31529,-0.3889911,1.058039,0.8259668
21.32663,-0.3689921,1.065545,0.8433656
21.33767,-0.3476713,1.071418,0.8590601
21.34921,-0.32521,1.075607,0.873013
21.36024,-0.3017954,1.078086,0.8852156
21.37102,-0.2775936,1.078842,0.8956448
21.38227,-0.2527817,1.077874,0.9043245
21.39425,-0.2275333,1.075186,0.9113029
21.40459,-0.2020254,1.070795,0.9167179
21.41571,-0.1763942,1.064721,0.9206827
21.42736,-0.1507348,1.057001,0.9232701
21.43822,-0.1251336,1.047701,0.9245355
21.44955,-0.09968428,1.036851,0.9244342
21.46074,-0.07448267,1.024401,0.9230223
21.47187,-0.04955703,1.010218,0.9202595
21.48317,-0.02489153,0.9942095,0.9160389
21.49407,-0.0004908945,0.976411,0.9102854
21.50515,0.02358415,0.9569244,0.9029476
21.51657,0.04721753,0.9358362,0.8939415
21.52765,0.07020867,0.9132469,0.8830548
21.53879,0.09234078,0.8892721,0.8701099
21.55022,0.113345,0.8640882,0.85488
21.56098,0.1329154,0.8379744,0.837124
21.57232,0.1507185,0.8113106,0.8166318
21.58439,0.1663552,0.7845937,0.793237
21.59476,0.1793873,0.7584326,0.7668523
21.60569,0.1894446,0.7334728,0.7375554
21.61716,0.1962634,0.7103335,0.7055486
21.62827,0.1996473,0.6895698,0.6710938
21.63926,0.1994824,0.6715792,0.6346078
21.65024,0.1956321,0.6566792,0.5966381
21.66222,0.1879877,0.6451174,0.55783
21.67382,0.176568,0.6369509,0.5188437
21.68368,0.1614095,0.6322497,0.4803958
21.69574,0.1424644,0.6312457,0.4434149
21.70628,0.119631,0.6345995,0.409675
21.71769,0.0938191,0.6423437,0.3810411
21.72867,0.0665255,0.6538168,0.358347
21.74026,0.0391982,0.6681177,0.3416621
