Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
107.5131,1,-0.03742139,1.727699,-0.4755672,0,0,0.1638327,1.694704,-0.5453163,0.1242645,1.504049,-0.8229191
107.524,1,-0.03097679,1.724871,-0.4679956,0,0,0.1703374,1.688066,-0.5419594,0.1247314,1.502446,-0.8240891
107.5356,1,-0.02476262,1.721204,-0.4612336,0,0,0.1756686,1.680616,-0.5384768,0.1255327,1.500109,-0.8253067
107.5466,1,-0.01859697,1.71708,-0.4562351,0,0,0.1815368,1.672152,-0.5353836,0.1261533,1.498033,-0.8260392
107.5578,1,-0.01238202,1.712633,-0.4533431,0,0,0.1857027,1.663242,-0.5315298,0.127013,1.495507,-0.8264623
107.5691,1,-0.006063616,1.70773,-0.4522668,0,0,0.1890409,1.654246,-0.5275744,0.1278175,1.493085,-0.8264723
107.5798,1,0.0003663832,1.702031,-0.4522273,0,0,0.1910383,1.645216,-0.5227845,0.1287155,1.490684,-0.8263416
107.5914,1,0.006877371,1.695127,-0.4522852,0,0,0.1921195,1.636526,-0.5176061,0.1294896,1.488397,-0.8261918
107.6023,1,0.01341929,1.686706,-0.4517569,0,0,0.1927661,1.627897,-0.5123894,0.1301644,1.486125,-0.8260988
107.6135,1,0.01991876,1.676643,-0.4502814,0,0,0.1931831,1.619515,-0.5072271,0.1308137,1.483923,-0.8261395
107.6247,1,0.02634005,1.66497,-0.4479244,0,0,0.1932231,1.611662,-0.5020965,0.1314875,1.481794,-0.825933
107.6363,1,0.03267558,1.651804,-0.4449763,0,0,0.1926516,1.604422,-0.4968102,0.1322912,1.479721,-0.8253973
107.6471,1,0.03893912,1.63726,-0.4417515,0,0,0.1920966,1.597033,-0.4909487,0.1329508,1.477761,-0.8246177
107.6585,1,0.04514956,1.621394,-0.4384603,0,0,0.190268,1.591178,-0.4854877,0.1334626,1.475826,-0.8237343
107.6694,1,0.05131751,1.604195,-0.4351738,0,0,0.1878295,1.585632,-0.480318,0.1338123,1.474176,-0.8226857
107.6804,1,0.05744786,1.585577,-0.4318669,0,0,0.1863344,1.580114,-0.4754616,0.1340923,1.47274,-0.8215618
107.692,1,0.0635361,1.56544,-0.4284701,0,0,0.1836058,1.575914,-0.4714746,0.1344227,1.471346,-0.8205944
107.703,1,0.06958283,1.543679,-0.4249369,0,0,0.1803468,1.572122,-0.4678372,0.1346388,1.470458,-0.8195792
107.7141,1,0.07559297,1.520224,-0.4212696,0,0,0.1768814,1.568671,-0.4639643,0.1348103,1.469784,-0.8185626
107.7253,1,0.08157413,1.495039,-0.4175159,0,0,0.1730393,1.566511,-0.4605604,0.1348814,1.469245,-0.817454
107.7373,1,0.08753256,1.468119,-0.4137451,0,0,0.1693438,1.563993,-0.4574836,0.1344209,1.469134,-0.8164762
107.7477,1,0.09346954,1.439464,-0.410019,0,0,0.1653157,1.562936,-0.4550318,0.1339379,1.468953,-0.8158242
107.759,1,0.09937839,1.409067,-0.4063646,0,0,0.1615549,1.562663,-0.4526356,0.1323697,1.469535,-0.8157791
107.77,1,0.1052434,1.376906,-0.4027582,0,0,0.1577195,1.56229,-0.4506809,0.1309831,1.470376,-0.8154681
107.7813,1,0.1110405,1.342946,-0.3991194,0,0,0.1540002,1.562047,-0.4488348,0.1300675,1.471015,-0.8151911
107.7925,1,0.1167372,1.307144,-0.395306,0,0,0.1505579,1.562026,-0.4469693,0.1296582,1.471477,-0.8145939
107.8051,1,0.1222954,1.269465,-0.3911167,0,0,0.1475247,1.562358,-0.4449764,0.1295958,1.471878,-0.8139705
107.8152,1,0.1276734,1.22989,-0.3862943,0,0,0.1449533,1.562636,-0.4430877,0.1299242,1.472264,-0.8131666
107.8259,1,0.1328258,1.18844,-0.3805242,0,0,0.143446,1.563314,-0.4414781,0.130108,1.472548,-0.812409
107.8375,1,0.1377038,1.145186,-0.3734315,0,0,0.1425532,1.564026,-0.4399937,0.1300284,1.472858,-0.8117226
107.8483,1,0.1422522,1.100273,-0.3645767,0,0,0.1409135,1.564471,-0.4386994,0.129423,1.47333,-0.8114563
107.8594,1,0.1464077,1.05395,-0.3534587,0,0,0.1395388,1.565211,-0.4373838,0.128692,1.473863,-0.8114551
107.8706,1,0.1500946,1.006606,-0.3395128,0,0,0.1377891,1.565171,-0.4362853,0.1279622,1.474491,-0.8115938
107.8817,1,0.1532225,0.958836,-0.3221321,0,0,0.1362561,1.56461,-0.4359937,0.1270742,1.475036,-0.8115773
107.8935,1,0.1556845,0.9114538,-0.300723,0,0,0.1346884,1.563815,-0.4358865,0.1259101,1.4757,-0.8121825
107.9042,1,0.1573609,0.8654923,-0.2747793,0,0,0.1333331,1.563097,-0.4354097,0.1262622,1.4761,-0.8131287
107.9154,1,0.1581288,0.8221608,-0.2439724,0,0,0.1331043,1.562513,-0.4353462,0.1280237,1.476363,-0.8146133
107.927,1,0.1578879,0.7826972,-0.2082834,0,0,0.1335553,1.56197,-0.4352866,0.1286716,1.476879,-0.816942
107.9377,1,0.1565877,0.7481474,-0.1680591,0,0,0.1336368,1.561065,-0.4350713,0.1281871,1.477362,-0.8188635
107.9493,1,0.1542619,0.7190475,-0.1240164,0,0,0.1343191,1.55988,-0.4353544,0.1283612,1.477177,-0.8191766
107.96,1,0.1510406,0.6952047,-0.07711823,0,0,0.1342415,1.558666,-0.4357853,0.1277795,1.476795,-0.8190844
107.9714,1,0.1471377,0.6756304,-0.02839204,0,0,0.1337329,1.557213,-0.4366013,0.1270637,1.476558,-0.819218
107.9827,1,0.1427982,0.6588074,0.02128529,0,0,0.1331038,1.555903,-0.4372482,0.1258107,1.476284,-0.8196375
107.9936,1,0.1382229,0.6432836,0.07133351,0,0,0.1327137,1.554074,-0.4383658,0.1258309,1.476001,-0.8201864
108.0047,1,0.1335304,0.628132,0.1214573,0,0,0.1319872,1.551966,-0.4390655,0.1257512,1.475349,-0.8204076
108.0158,1,0.128767,0.6130747,0.1715354,0,0,0.1317068,1.550031,-0.439989,0.1253256,1.47462,-0.8204402
108.0272,1,0.1239438,0.5982945,0.2215012,0,0,0.1315053,1.54822,-0.4407815,0.1252873,1.473903,-0.8207539
108.0383,1,0.1190677,0.5841547,0.2712809,0,0,0.1314187,1.546498,-0.442054,0.1257518,1.473279,-0.8213156
108.0493,1,0.1141501,0.5710045,0.3207957,0,0,0.1311234,1.544645,-0.4427859,0.1264963,1.47256,-0.821924
108.0605,1,0.1091993,0.5591265,0.3699867,0,0,0.1307995,1.543404,-0.4439124,0.1271133,1.471814,-0.8224269
108.0716,1,0.1042069,0.5487658,0.4188184,0,0,0.1303155,1.542113,-0.4447182,0.1282426,1.471179,-0.8230749
108.0836,1,0.09913833,0.5401665,0.4672486,0,0,0.129892,1.54083,-0.4452614,0.1288074,1.470577,-0.8232483
108.0949,1,0.09392709,0.5335897,0.5151837,0,0,0.1295971,1.539661,-0.4454725,0.1290453,1.470001,-0.8230174
125.7868,2,-0.08228641,1.398826,-0.3780479,0,0,0.0459305,1.389282,-0.5629197,0.1016028,1.474612,-0.9704152
125.7982,2,-0.08805782,1.392763,-0.3791008,0,0,0.043697,1.388113,-0.5623596,0.1015755,1.474553,-0.9700357
125.8091,2,-0.09397954,1.385178,-0.3805391,0,0,0.0429728,1.387294,-0.5623583,0.1015545,1.474491,-0.9696553
125.8202,2,-0.1000119,1.376022,-0.3822313,0,0,0.04180121,1.386584,-0.5623871,0.1016305,1.474447,-0.9696379
125.8314,2,-0.1061341,1.365298,-0.3841292,0,0,0.04286182,1.386607,-0.5630039,0.1016839,1.474391,-0.9694413
125.8427,2,-0.1122997,1.353027,-0.3861184,0,0,0.04343402,1.386439,-0.5634065,0.1019072,1.474385,-0.969852
125.8538,2,-0.1184791,1.339234,-0.3881186,0,0,0.0461272,1.387091,-0.5642613,0.1020184,1.474394,-0.9701924
