Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode
108.0956,YES,1,-0.04406665,1.728992,-0.48252,0.1591989,1.700224,-0.5476341,0.2153702,NO,1.04222,0.7422141,0,1.5,0.5,103.1068,0,REWARD
127.14,YES,2,-0.07667775,1.403384,-0.3774556,0.04822767,1.390601,-0.5634149,0.2243784,NO,0.3133055,0.5822905,0,1.5,0.5,83.74017,0,REWARD
130.54,YES,3,-0.178999,1.038756,-0.4395259,-0.106022,1.029734,-0.6331341,0.2071019,NO,0.1547166,3.386331,0,1.5,0.5,64.25392,0,REWARD
135.5178,YES,4,-0.1243567,1.232296,-0.4568578,-0.07556629,1.148392,-0.6204323,0.1902026,YES,0,4.738682,0,1.5,0.5,74.4938,10,REWARD
140.8956,YES,5,-0.09529793,1.279418,-0.4313734,-0.07279027,1.201825,-0.6021016,0.1888794,YES,0,5.025049,0,1.5,0.5,76.74261,20,REWARD
143.5956,YES,6,-0.02873825,1.448694,-0.3932012,0.08407545,1.41652,-0.5888616,0.2281338,NO,1.107481,0.1432682,0,1.5,0.5,86.71418,20,REWARD
146.0511,YES,7,-0.1215713,1.183697,-0.4481335,-0.04577816,1.116291,-0.6034886,0.1855352,YES,0,4.863041,0,1.5,0.5,71.69076,30,REWARD
154.2844,YES,8,0.2375211,1.262174,-0.4367487,0.370402,1.221104,-0.6315501,0.2393566,YES,0,5.30653,0,1.5,0.5,76.17441,40,REWARD
158.6844,YES,9,0.07086892,1.103184,-0.4326714,0.2256143,1.150098,-0.597962,0.2312317,YES,0,5.075955,0,1.5,0.5,67.01144,50,REWARD
161.1956,YES,10,0.01498664,1.51321,-0.3844293,0.07920253,1.456469,-0.587948,0.2208236,NO,1.090243,0.7979274,0,1.5,0.5,90.8556,50,REWARD
164.6956,YES,11,-0.270204,1.447743,-0.2999648,-0.1787421,1.411614,-0.4565036,0.1848648,NO,0.5473191,1.840485,0,1.5,0.5,86.45851,50,REWARD
167.2956,YES,12,-0.5172305,1.134955,-0.07754531,-0.4443823,1.279561,-0.2259177,0.2196183,NO,1.121664,0.510623,0,1.5,0.5,64.78682,50,REWARD
173.0289,YES,13,0.2504692,1.115475,-0.494047,0.3584529,1.13826,-0.7411929,0.2706672,YES,0,2.735783,0,1.5,0.5,69.43877,60,REWARD
176.6511,YES,14,0.264139,1.113726,-0.492201,0.3493186,1.11536,-0.7966901,0.3161833,NO,0.2694719,1.90214,0,1.5,0.5,69.38332,60,REWARD
186.24,YES,15,0.1564851,1.114867,-0.4453106,0.2941195,1.077128,-0.6938258,0.2865786,NO,0.2257987,4.499838,0,1.5,0.5,68.10261,60,REWARD
188.8956,YES,16,0.5657629,1.551365,0.04866757,0.5512065,1.548536,-0.1486653,0.1978893,NO,1.124425,0.5581725,0,1.5,0.5,94.05958,60,REWARD
192.1622,YES,17,-0.6507338,1.423057,0.3799181,-0.555442,1.490801,0.2216592,0.1967628,NO,1.032722,0.4954704,0,1.5,0.5,83.3676,60,REWARD
199.1733,YES,18,-0.1310042,1.036282,-0.4752637,-0.07073987,1.018046,-0.6354772,0.1721415,NO,0.2890045,2.088976,0,1.5,0.5,64.76797,60,REWARD
203.0511,YES,19,0.1599806,1.033613,-0.4836631,0.25844,1.019829,-0.7412307,0.2760893,NO,0.1844985,2.33459,0,1.5,0.5,64.92117,60,REWARD
206.8733,YES,20,0.121405,1.082276,-0.5079316,0.2531344,1.083115,-0.7459639,0.2720528,NO,0.1297802,2.797933,0,1.5,0.5,67.63467,60,REWARD
210.5956,YES,21,0.1657331,1.058366,-0.4938241,0.2619966,1.083521,-0.7570218,0.281376,YES,0,2.829649,0,1.5,0.5,66.33096,70,REWARD
213.24,YES,22,0.2308898,1.132267,-0.4780946,0.3098683,1.13781,-0.6758722,0.2130359,YES,0,4.123325,0,1.5,0.5,69.90186,80,REWARD
216.9733,YES,23,0.2100665,1.115816,-0.5037973,0.28751,1.127751,-0.7252215,0.23488,YES,0,2.848117,0,1.5,0.5,69.46326,90,REWARD
220.5178,YES,24,0.2754999,1.098943,-0.4891689,0.3624202,1.130219,-0.7073674,0.2369471,NO,0.1634494,2.350064,0,1.5,0.5,68.66524,90,REWARD
223.7067,YES,25,0.2152916,1.099192,-0.4785686,0.3188568,1.088904,-0.6818796,0.2284009,YES,0,3.838875,0,1.5,0.5,68.19765,100,REWARD
231.64,YES,26,0.1417087,1.115072,-0.4802369,0.2741746,1.123544,-0.647065,0.2131915,NO,0.1271402,3.923415,0,1.5,0.5,68.76147,100,REWARD
235.3289,YES,27,0.1292185,1.216841,-0.4747084,0.2570134,1.210696,-0.6349322,0.2050389,YES,0,4.977096,0,1.5,0.5,73.93429,110,REWARD
239.0178,YES,28,0.2087117,1.139244,-0.4615714,0.3109097,1.143999,-0.6191722,0.1878965,NO,0.08810032,4.278931,0,1.5,0.5,69.8652,110,REWARD
242.8622,YES,29,-0.2982199,1.258291,-0.3910232,-0.2763726,1.192141,-0.5257318,0.1516559,YES,0,4.75958,0,1.5,0.5,75.5737,120,REWARD
246.8622,YES,30,-0.3091238,1.207458,-0.4465399,-0.2772776,1.124186,-0.5801955,0.160662,NO,0.1017804,3.590801,0,1.5,0.5,73.62755,125,REWARD
249.2067,YES,31,-0.2719018,1.223135,-0.4589569,-0.2485913,1.123854,-0.5679847,0.1492887,YES,0,5.22026,0,1.5,0.5,74.47654,140,REWARD
255.1067,YES,32,-0.1121073,1.185428,-0.428244,-0.1408097,1.097479,-0.5472207,0.1507125,YES,0,4.393719,0,1.5,0.5,71.40475,150,REWARD
260.5733,YES,33,-0.168806,1.251266,-0.4392143,-0.1558111,1.127545,-0.5360011,0.1576175,YES,0,4.905248,0,1.5,0.5,75.39059,160,REWARD
263.9067,YES,34,0.07624572,1.40226,-0.4032033,0.06499004,1.282459,-0.5534484,0.19249,NO,0.2321881,4.333858,0,1.5,0.5,83.84549,160,REWARD
267.2733,YES,35,-0.08757766,1.125188,-0.4401,-0.1083826,1.077808,-0.5784763,0.1477351,YES,0,4.037631,0,1.5,0.5,68.34815,170,REWARD
275.7178,YES,36,0.07157953,1.176051,-0.419118,0.2352998,1.171418,-0.5612119,0.2168329,NO,0.1382072,5.089347,0,1.5,0.5,70.63893,170,REWARD
283.5289,YES,37,-0.1327924,1.206868,-0.4555493,-0.1501012,1.144625,-0.6266056,0.1828496,YES,0,5.038693,0,1.5,0.5,73.0987,180,REWARD
286.3622,YES,38,-0.09298531,2.033405,-0.2933914,-0.02330506,1.872155,-0.3359938,0.1807533,NO,0.7952275,1.764757,0,1.5,0.5,123.7326,180,REWARD
290.6067,YES,39,-0.00980041,2.044665,-0.2274389,0.01286149,1.926814,-0.2114245,0.121074,NO,0.6987808,1.675491,0,1.5,0.5,126.8213,190,REWARD
293.6178,YES,40,-0.01477875,2.072479,-0.238069,0.001398206,1.940049,-0.2255336,0.1340027,NO,0.818871,1.26802,0,1.5,0.5,127.7932,200,REWARD
298.8178,YES,41,-0.48342,1.640417,-0.3836281,-0.305009,1.719885,-0.4829514,0.2191137,NO,0.8346931,3.487622,0,1.5,0.5,97.93645,210,REWARD
301.3511,YES,42,-0.4521727,1.466652,-0.2679413,-0.3132552,1.539511,-0.423102,0.2206384,NO,1.050717,3.516189,0,1.5,0.5,87.85698,220,REWARD
304.7067,YES,43,-0.322541,1.352724,-0.3347718,-0.174733,1.444315,-0.5196747,0.2538214,NO,0.4515947,3.892881,0,1.5,0.5,80.65462,230,REWARD
307.1511,YES,44,0.03232157,1.201995,-0.4365401,0.08401763,1.288015,-0.6228863,0.2116525,NO,1.110545,3.089043,0,1.5,0.5,72.35892,240,REWARD
310.9067,YES,45,0.01391213,1.272258,-0.4451944,0.08030498,1.294532,-0.6263562,0.194226,NO,0.7146233,2.561069,0,1.5,0.5,76.45438,245,REWARD
314.4733,YES,46,0.07961657,1.937592,-0.2942974,0.1300795,1.910179,-0.497609,0.2112667,NO,0.7377141,3.849661,0,1.5,0.5,118.7302,250,REWARD
318.0733,YES,47,0.1330451,1.193082,-0.4821507,0.2425836,1.205989,-0.6820642,0.2283214,NO,0.309126,2.84268,0,1.5,0.5,72.79394,260,REWARD
321.5067,YES,48,-0.138048,1.284394,-0.4705552,-0.1612655,1.193338,-0.583961,0.1472788,YES,0,4.345101,0,1.5,0.5,77.5962,270,REWARD
