Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
406.0061,1,-0.4612253,0.9644542,-0.5207862,0,0,-0.575199,1.06008,-0.7915856,-0.2533012,1.38261,-1.140973
406.0157,1,-0.5025527,0.9264231,-0.4926832,0,0,-0.5950925,1.063172,-0.8183525,-0.2525499,1.384151,-1.153639
406.027,1,-0.5404193,0.8906221,-0.4592298,0,0,-0.6012661,1.076481,-0.8444461,-0.2561291,1.38116,-1.156041
406.0382,1,-0.5747547,0.8571394,-0.4210396,0,0,-0.6053681,1.088925,-0.8622739,-0.256254,1.38103,-1.158731
406.0494,1,-0.6056616,0.8258629,-0.3786955,0,0,-0.6139179,1.096938,-0.8810407,-0.2569587,1.380449,-1.159433
406.0606,1,-0.6329197,0.7971772,-0.3323461,0,0,-0.6089653,1.10695,-0.8892857,-0.2568118,1.380898,-1.162477
406.0716,1,-0.656934,0.7709132,-0.2825249,0,0,-0.6102062,1.113439,-0.8971034,-0.2566976,1.381237,-1.164468
406.0829,1,-0.6775783,0.7472107,-0.229379,0,0,-0.6148311,1.121913,-0.9039866,-0.256326,1.38186,-1.166763
406.0942,1,-0.6948724,0.7259822,-0.1731465,0,0,-0.6131845,1.128565,-0.9098926,-0.2560757,1.382546,-1.168787
406.1052,1,-0.7089578,0.7069118,-0.1141841,0,0,-0.6115047,1.134318,-0.9155984,-0.2557867,1.383117,-1.170966
406.1164,1,-0.7196761,0.6900868,-0.05262064,0,0,-0.6106528,1.141004,-0.9209255,-0.2556565,1.383474,-1.172882
406.1277,1,-0.7273567,0.6751258,0.01104446,0,0,-0.6083814,1.145993,-0.9279686,-0.255663,1.383711,-1.174644
406.1387,1,-0.7317154,0.6622988,0.07667601,0,0,-0.607302,1.150523,-0.9339797,-0.2556289,1.383791,-1.176245
406.1499,1,-0.7330471,0.6514634,0.1438017,0,0,-0.6064504,1.153223,-0.9394517,-0.2555632,1.383932,-1.177683
406.161,1,-0.7309869,0.6430359,0.2122511,0,0,-0.6051365,1.154304,-0.9437516,-0.2554862,1.383981,-1.178499
406.1722,1,-0.7257696,0.6370196,0.2815912,0,0,-0.6038252,1.154626,-0.9486008,-0.2557296,1.383711,-1.178705
406.1833,1,-0.7172539,0.6336378,0.3515924,0,0,-0.6034765,1.153029,-0.9503856,-0.2556319,1.383752,-1.179248
406.1947,1,-0.7057209,0.6326924,0.4219979,0,0,-0.6024928,1.152537,-0.9530214,-0.255722,1.383632,-1.179194
406.2057,1,-0.6909331,0.6344934,0.49273,0,0,-0.6005045,1.150478,-0.9547305,-0.2558143,1.383504,-1.179473
406.2167,1,-0.6728178,0.6390949,0.5636796,0,0,-0.5993315,1.149556,-0.9563023,-0.2559433,1.383268,-1.179638
406.2282,1,-0.6510823,0.6468092,0.6346983,0,0,-0.5971378,1.148199,-0.9564372,-0.2560011,1.383144,-1.180128
406.2391,1,-0.6257977,0.6573964,0.7055112,0,0,-0.5948347,1.145596,-0.954916,-0.2562006,1.38285,-1.180377
406.2505,1,-0.5968839,0.6709006,0.7757881,0,0,-0.5931128,1.1437,-0.9545821,-0.2564283,1.382497,-1.180274
406.2619,1,-0.5640752,0.687554,0.845082,0,0,-0.5906737,1.141304,-0.9529737,-0.2566497,1.382203,-1.18045
406.273,1,-0.527396,0.707459,0.9128631,0,0,-0.5882401,1.138686,-0.9511362,-0.2568748,1.381896,-1.180279
406.2844,1,-0.4865469,0.7309753,0.9783183,0,0,-0.5857542,1.1363,-0.9489671,-0.2571541,1.381534,-1.180095
406.2955,1,-0.4421036,0.7576707,1.040897,0,0,-0.5827142,1.134047,-0.9467522,-0.2574485,1.381164,-1.179876
406.3064,1,-0.394462,0.787315,1.099942,0,0,-0.5798768,1.131993,-0.9439962,-0.2577538,1.38078,-1.179643
406.3181,1,-0.3444717,0.8192372,1.155287,0,0,-0.5768546,1.129727,-0.9411315,-0.258095,1.380379,-1.179334
406.3288,1,-0.2927579,0.8530097,1.206703,0,0,-0.5735794,1.127799,-0.938059,-0.2584425,1.379969,-1.179021
406.3401,1,-0.2397718,0.8884431,1.253767,0,0,-0.5708135,1.125633,-0.9344392,-0.2588076,1.379555,-1.17861
406.351,1,-0.1859432,0.9254496,1.29596,0,0,-0.5680962,1.123418,-0.9306587,-0.2592012,1.379133,-1.178035
406.3624,1,-0.1316988,0.9639869,1.332749,0,0,-0.5655745,1.121138,-0.9268193,-0.2596601,1.37866,-1.177389
406.3734,1,-0.07746681,1.004036,1.36362,0,0,-0.5628893,1.119307,-0.9227041,-0.2600856,1.378215,-1.176829
406.3847,1,-0.02366833,1.04544,1.388389,0,0,-0.5599321,1.117495,-0.918754,-0.2605716,1.377729,-1.176273
409.9924,2,-0.2393842,1.126362,-0.6069548,0,0,-0.4196272,1.096669,-0.7515206,-0.256855,1.37796,-1.12641
410.0037,2,-0.2730488,1.096473,-0.5910044,0,0,-0.4592146,1.079307,-0.7645558,-0.2571144,1.378067,-1.131212
410.0149,2,-0.3053614,1.068666,-0.5693038,0,0,-0.4964919,1.06583,-0.7829016,-0.2574793,1.378024,-1.135689
410.0259,2,-0.3349677,1.044199,-0.5388405,0,0,-0.5292825,1.051671,-0.8017335,-0.2581401,1.377679,-1.139902
410.037,2,-0.3625633,1.021752,-0.5031855,0,0,-0.5569965,1.043141,-0.8311769,-0.2589773,1.377095,-1.143206
410.0483,2,-0.385854,1.003027,-0.4587775,0,0,-0.5795604,1.043359,-0.8624791,-0.2596273,1.376783,-1.147301
410.0593,2,-0.4063681,0.9861786,-0.4091232,0,0,-0.5938984,1.050438,-0.8922311,-0.2598718,1.377096,-1.152326
410.0709,2,-0.4226023,0.9721805,-0.3521625,0,0,-0.6051041,1.061695,-0.9168551,-0.2600286,1.37739,-1.156644
410.0819,2,-0.4354135,0.9602301,-0.2896774,0,0,-0.6173998,1.070758,-0.9366547,-0.2603574,1.377376,-1.159972
410.0929,2,-0.4473526,0.9475169,-0.2261901,0,0,-0.6201179,1.081024,-0.9554048,-0.2609479,1.377288,-1.162457
410.1041,2,-0.4597188,0.9330308,-0.1633133,0,0,-0.6210033,1.088802,-0.969983,-0.2615905,1.377021,-1.164761
410.1152,2,-0.4750757,0.9151837,-0.1041526,0,0,-0.6237549,1.094867,-0.9849014,-0.2618809,1.377008,-1.166937
410.1266,2,-0.4930459,0.8943745,-0.04802991,0,0,-0.6230893,1.101097,-0.9921931,-0.2617454,1.377442,-1.169186
410.1378,2,-0.511466,0.8718514,0.00758408,0,0,-0.6228702,1.106677,-0.9974468,-0.2612312,1.378186,-1.171028
410.1487,2,-0.5283552,0.8484226,0.06465416,0,0,-0.6232457,1.112611,-1.000477,-0.2605835,1.379106,-1.172806
410.1604,2,-0.543171,0.8242088,0.1235822,0,0,-0.6220804,1.116658,-1.004275,-0.2600904,1.37995,-1.174428
410.1714,2,-0.5560418,0.7991536,0.1842685,0,0,-0.6202669,1.119923,-1.007751,-0.2596839,1.380586,-1.175919
410.1826,2,-0.566788,0.7734622,0.2470975,0,0,-0.6192762,1.124062,-1.01052,-0.2594914,1.380933,-1.176987
410.1937,2,-0.5749175,0.7476441,0.3127862,0,0,-0.6163596,1.126587,-1.013298,-0.2594304,1.381178,-1.1779
410.2046,2,-0.579798,0.7223915,0.3817116,0,0,-0.6138271,1.128066,-1.014726,-0.2594926,1.381144,-1.178486
410.2158,2,-0.5804449,0.6985499,0.4535107,0,0,-0.6114112,1.128456,-1.015625,-0.2597799,1.380837,-1.17876
410.2272,2,-0.5751374,0.6777409,0.5271221,0,0,-0.6092812,1.128979,-1.01689,-0.260173,1.380392,-1.178966
410.2383,2,-0.5626784,0.6618646,0.6004785,0,0,-0.606975,1.12718,-1.016356,-0.2605132,1.38003,-1.179313
410.2494,2,-0.5438349,0.6516951,0.6717355,0,0,-0.605042,1.125082,-1.015061,-0.2609669,1.379484,-1.179279
410.2604,2,-0.5195397,0.6481296,0.740033,0,0,-0.6029427,1.123145,-1.013442,-0.2612768,1.379089,-1.179145
410.2717,2,-0.4903475,0.6529095,0.8044463,0,0,-0.6005877,1.120621,-1.010879,-0.261595,1.378687,-1.178999
410.2834,2,-0.4574645,0.6668538,0.8639386,0,0,-0.5982939,1.118273,-1.008929,-0.2619708,1.378199,-1.178629
410.2942,2,-0.4223973,0.68885,0.9178079,0,0,-0.5953746,1.115028,-1.004827,-0.2622775,1.377779,-1.178451
410.3051,2,-0.3862959,0.7164553,0.96624,0,0,-0.5924999,1.111791,-1.000387,-0.2626927,1.377207,-1.177981
410.3164,2,-0.3498648,0.7469413,1.010528,0,0,-0.589682,1.108719,-0.9962765,-0.263192,1.376571,-1.177473
410.3277,2,-0.3134592,0.7782894,1.052251,0,0,-0.5863203,1.105712,-0.9912578,-0.2636467,1.375994,-1.177064
410.3388,2,-0.2772346,0.8093956,1.092496,0,0,-0.5830961,1.102618,-0.9862493,-0.264191,1.375337,-1.176492
410.35,2,-0.2412565,0.8398683,1.131636,0,0,-0.5795494,1.099538,-0.9805608,-0.264715,1.374708,-1.175777
410.3612,2,-0.2055751,0.8696768,1.169581,0,0,-0.5755514,1.096527,-0.9748572,-0.2653458,1.373965,-1.175113
410.3721,2,-0.1702597,0.8989755,1.206005,0,0,-0.5718964,1.093732,-0.9695373,-0.265963,1.373225,-1.174307
410.3833,2,-0.1354014,0.9280919,1.240349,0,0,-0.5679473,1.090886,-0.9640785,-0.2665543,1.372514,-1.17367
410.3945,2,-0.1010621,0.9575132,1.271895,0,0,-0.56375,1.088306,-0.9580475,-0.2671581,1.371792,-1.172944
410.4056,2,-0.06721091,0.9878353,1.299911,0,0,-0.5600318,1.085723,-0.9522685,-0.2678091,1.371029,-1.172153
410.4177,2,-0.0336962,1.019504,1.324003,0,0,-0.5558053,1.083097,-0.9457966,-0.2683966,1.370347,-1.17142
410.428,2,-0.0003111996,1.052439,1.344379,0,0,-0.5519257,1.080763,-0.9393846,-0.2691234,1.369539,-1.170482
414.5163,3,0.2225172,1.42514,-0.6677812,0,0,-0.006444216,1.411127,-0.7264667,-0.249325,1.371412,-1.016652
414.5285,3,0.2073425,1.422688,-0.6585457,0,0,-0.01968312,1.406167,-0.7284127,-0.2504558,1.370719,-1.018666
414.5386,3,0.1910604,1.419366,-0.6447693,0,0,-0.03242946,1.40091,-0.730487,-0.2517624,1.369933,-1.021153
414.5499,3,0.1731734,1.41549,-0.6245433,0,0,-0.05029702,1.392434,-0.7324294,-0.2530925,1.369165,-1.023907
414.5612,3,0.1542665,1.410894,-0.6000794,0,0,-0.06604731,1.385107,-0.7345635,-0.2549583,1.368284,-1.02868
414.5723,3,0.133675,1.406092,-0.5684322,0,0,-0.08460367,1.374925,-0.737007,-0.2565995,1.367475,-1.032998
414.5842,3,0.1125091,1.400576,-0.5338425,0,0,-0.1045333,1.363747,-0.739509,-0.2586105,1.366553,-1.039101
414.5945,3,0.09050196,1.394643,-0.495075,0,0,-0.1244689,1.352456,-0.7422318,-0.2607474,1.365528,-1.045816
414.6061,3,0.06922369,1.386532,-0.4611709,0,0,-0.1469678,1.338764,-0.7457904,-0.2626939,1.364697,-1.05288
414.6172,3,0.04911341,1.375115,-0.4363121,0,0,-0.1707926,1.324133,-0.7493442,-0.2648114,1.363789,-1.061305
414.628,3,0.02986938,1.360456,-0.4191433,0,0,-0.1956086,1.308475,-0.7530279,-0.2665296,1.363305,-1.070329
414.6393,3,0.01086769,1.344176,-0.4039659,0,0,-0.2215052,1.291277,-0.7559687,-0.2680165,1.362956,-1.079558
414.6505,3,-0.008200146,1.32727,-0.3879227,0,0,-0.2486597,1.272676,-0.7583627,-0.2691846,1.362841,-1.088877
414.6618,3,-0.02743503,1.309454,-0.3712702,0,0,-0.2768744,1.252157,-0.7596061,-0.2698113,1.363214,-1.098255
414.6727,3,-0.0468948,1.290373,-0.3545004,0,0,-0.3052075,1.23187,-0.7609981,-0.2699942,1.363865,-1.107166
414.6839,3,-0.06661381,1.269914,-0.3378088,0,0,-0.3371902,1.208428,-0.7622081,-0.2699282,1.364588,-1.114989
414.6951,3,-0.08662808,1.248109,-0.3212835,0,0,-0.3696856,1.185243,-0.7651277,-0.2697227,1.365371,-1.122681
