Time,Using right hand?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode,Target Position Number,Colliding Obstacle
407.9778,NO,1,-0.3176985,1.091129,-0.5697162,-0.4841214,1.084372,-0.7118974,0.2189925,YES,0,5.542186,0,1.5,0.5,69.87688,10,NONE,1,POLE
412.0445,NO,2,-0.204272,1.158757,-0.6140763,-0.3803489,1.116798,-0.7424108,0.2218859,YES,0,5.826478,0,1.5,0.5,73.23356,20,NONE,1,POLE
416.6,NO,3,0.2362246,1.426656,-0.6708951,0.005242825,1.415128,-0.72442,0.2373824,NO,0.2942753,1.150111,0,1.5,0.5,86.48631,20,NONE,1,POLE
419.4778,NO,4,0.3043199,1.384228,-0.5328391,0.1144879,1.42636,-0.6403447,0.2221909,NO,1.020604,0.9911336,0,1.5,0.5,83.86308,20,NONE,1,POLE
425.2111,NO,5,-0.2529432,1.078589,-0.5956199,-0.4870471,1.061172,-0.7210943,0.26618,NO,0.1083338,5.772515,0,1.5,0.5,69.45527,20,NONE,1,POLE
427.0889,NO,6,-0.007352072,1.034887,-0.399562,-0.1209735,1.177485,-0.5271803,0.2225543,NO,1.05293,0.1770106,0,1.5,0.5,62.65982,20,NONE,1,POLE
432.2667,NO,7,-0.403177,1.042594,-0.6748345,-0.6524931,1.059979,-0.8574539,0.3095329,YES,0,5.066015,0,1.5,0.5,69.78352,30,NONE,1,POLE
434.2778,NO,8,-0.01761531,1.059531,-0.4062769,-0.1315523,1.20078,-0.5123552,0.2102035,NO,1.121832,0.442738,0,1.5,0.5,64.08357,30,NONE,1,POLE
439.3222,NO,9,-0.400216,1.067997,-0.6690558,-0.5791072,1.056262,-0.8500818,0.2547747,NO,0.09857493,5.228389,0,1.5,0.5,70.72976,30,NONE,1,POLE
444.6889,NO,10,-0.3514755,1.111642,-0.5626125,-0.566075,1.065839,-0.7307686,0.276455,YES,0,5.177233,0,1.5,0.5,70.86395,40,NONE,1,POLE
450.9667,NO,11,-0.3698637,1.135929,-0.4664255,-0.5848854,1.043872,-0.7103211,0.337926,YES,0,3.422334,0,1.5,0.5,70.61646,50,NONE,1,POLE
452.6889,NO,12,0.007490575,1.031375,-0.3991831,-0.110042,1.185358,-0.5194331,0.2280016,NO,1.112316,0.3343123,0,1.5,0.5,62.47376,50,NONE,1,POLE
456.8222,NO,13,-0.3424627,1.037771,-0.5940719,-0.5482496,1.002795,-0.7851981,0.2830208,YES,0,4.77069,0,1.5,0.5,68.04101,60,NONE,1,POLE
459.2333,NO,14,-0.1944847,1.19792,-0.4950597,-0.3591449,1.103443,-0.5885223,0.2115995,YES,0,5.902105,0,1.5,0.5,73.409,70,NONE,1,POLE
467.9889,NO,15,-0.1576941,1.297308,-0.4816218,-0.2943847,1.186861,-0.630322,0.2302055,NO,0.09095345,6.293764,0,1.5,0.5,78.47684,70,NONE,1,POLE
470.8889,NO,16,-0.06193741,1.656359,-0.3460374,-0.2301897,1.653291,-0.4978182,0.2266179,NO,1.11914,0.6370184,0,1.5,0.5,100.4435,70,NONE,1,POLE
495.4,NO,17,0.0213438,1.256694,-0.9826278,-0.1574839,1.293286,-0.9082698,0.1970976,NO,0.1351068,0.7443687,0,1.5,0.5,80.68152,70,NONE,1,POLE
498.5667,NO,18,-0.1682127,1.107599,-0.5526164,-0.4275316,1.027899,-0.6709436,0.2959727,YES,0,6.002898,0,1.5,0.5,69.79057,80,NONE,1,POLE
502.0667,NO,19,-0.2274806,1.085333,-0.5197304,-0.4582945,1.015249,-0.6959317,0.29872,YES,0,4.939203,0,1.5,0.5,68.35243,90,NONE,1,POLE
505.4222,NO,20,-0.02343548,1.372073,-0.5600953,-0.1775842,1.217661,-0.6402924,0.2324573,NO,0.1119645,5.488034,0,1.5,0.5,83.12077,90,NONE,1,POLE
510.4667,NO,21,-0.03822454,1.308523,-0.5755183,-0.1838561,1.19219,-0.6447128,0.1988209,YES,0,5.122968,0,1.5,0.5,79.9115,100,NONE,1,POLE
