Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
43.24609,1,-0.0003728061,1.485856,-0.3889178,0,0,-0.1525939,1.443791,-0.524019,-0.1977248,1.379719,-0.9171169
43.25671,1,-0.0005585992,1.482843,-0.3907434,0,0,-0.1529416,1.444005,-0.5247037,-0.1978956,1.379616,-0.917215
43.26793,1,-0.0007699583,1.478413,-0.3929012,0,0,-0.1532112,1.444305,-0.5253789,-0.198086,1.379522,-0.9172515
43.2797,1,-0.001001604,1.472568,-0.3953572,0,0,-0.1534954,1.444686,-0.5258003,-0.1982319,1.379504,-0.9173949
43.29052,1,-0.001248762,1.465305,-0.398063,0,0,-0.1539266,1.445031,-0.526212,-0.1983922,1.379521,-0.9176019
43.30139,1,-0.001507977,1.45662,-0.4009668,0,0,-0.1541302,1.445147,-0.5267557,-0.1986074,1.379501,-0.9177864
43.31257,1,-0.001776331,1.446509,-0.4040242,0,0,-0.1543192,1.445264,-0.5270617,-0.1986901,1.379552,-0.9180143
43.32366,1,-0.002053682,1.43496,-0.4072082,0,0,-0.1546911,1.445424,-0.5272299,-0.1987526,1.379621,-0.9182046
43.33472,1,-0.002339918,1.421962,-0.4104899,0,0,-0.1548227,1.445526,-0.5272263,-0.1988829,1.379651,-0.9184088
43.34605,1,-0.002631205,1.407496,-0.4138347,0,0,-0.1549449,1.44575,-0.527107,-0.1989613,1.379671,-0.9185393
43.35762,1,-0.002933704,1.391527,-0.4171968,0,0,-0.1553354,1.446047,-0.5266653,-0.199112,1.379658,-0.9186783
43.36839,1,-0.003244219,1.374027,-0.4205056,0,0,-0.1554034,1.446106,-0.5262827,-0.1992863,1.379656,-0.918848
43.37954,1,-0.003558259,1.354961,-0.4236726,0,0,-0.1556367,1.44627,-0.5259629,-0.1993471,1.379657,-0.9188886
43.3908,1,-0.003869298,1.334301,-0.4265887,0,0,-0.1558787,1.446361,-0.5256845,-0.1993455,1.379768,-0.9190799
43.40201,1,-0.004167795,1.312021,-0.4291232,0,0,-0.1562192,1.446385,-0.5254058,-0.1994197,1.379808,-0.9192327
43.41446,1,-0.004671063,1.262576,-0.432404,0,0,-0.1564071,1.446426,-0.5251447,-0.1994267,1.379889,-0.9193829
43.42411,1,-0.004671063,1.262576,-0.432404,0,0,-0.1567718,1.446296,-0.5249003,-0.1994271,1.379959,-0.9194877
43.43538,1,-0.004838719,1.235446,-0.4327598,0,0,-0.1569186,1.446071,-0.5246757,-0.1994568,1.380009,-0.9196637
43.44662,1,-0.004920414,1.206781,-0.431946,0,0,-0.157012,1.445734,-0.524424,-0.1994453,1.380052,-0.9198146
43.45786,1,-0.004724931,1.145311,-0.4256541,0,0,-0.1569502,1.445509,-0.5242401,-0.1992668,1.38022,-0.9200217
43.46893,1,-0.004398083,1.11289,-0.4195058,0,0,-0.1571977,1.445341,-0.5243441,-0.1992037,1.380283,-0.9201397
43.48001,1,-0.003890905,1.079734,-0.4108604,0,0,-0.1576723,1.445167,-0.5246439,-0.1992141,1.38036,-0.9204251
43.49131,1,-0.003192232,1.046252,-0.3993415,0,0,-0.1580721,1.445046,-0.5248851,-0.1992257,1.380446,-0.9207335
43.50225,1,-0.002304179,1.012949,-0.3846221,0,0,-0.1587212,1.444976,-0.525525,-0.1992515,1.380509,-0.9210122
43.51356,1,-0.001246515,0.9803848,-0.3664973,0,0,-0.159526,1.444961,-0.5262564,-0.1993034,1.380642,-0.9215581
43.52472,1,-5.788321E-05,0.9490901,-0.3449636,0,0,-0.1604015,1.445079,-0.5270618,-0.1994595,1.380695,-0.9220674
43.53597,1,0.001209106,0.9194433,-0.3202711,0,0,-0.1615931,1.445328,-0.52828,-0.1995873,1.380816,-0.9226812
43.54719,1,0.002499084,0.8915631,-0.2928961,0,0,-0.1629062,1.445567,-0.5297049,-0.1997732,1.380956,-0.9234034
43.55827,1,0.003766116,0.865277,-0.2634456,0,0,-0.1644901,1.445814,-0.531324,-0.1999233,1.38111,-0.9240987
43.56961,1,0.004980917,0.8401904,-0.2325316,0,0,-0.1660175,1.445962,-0.5330412,-0.2000811,1.381271,-0.9248227
