Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode
43.78,NO,1,-0.0002164,1.487421,-0.3874081,-0.1521627,1.443883,-0.5232075,0.208386,NO,1.1445,0.1248287,0,1.5,0.5,89.18788,0,REWARD
51.98,NO,2,-0.3544762,1.104458,-0.4456359,-0.4940208,1.122013,-0.6395942,0.2395844,YES,0,3.100202,0,1.5,0.5,68.61131,10,REWARD
55.81334,NO,3,-0.11525,1.222801,-0.3937552,-0.3231134,1.220821,-0.5515784,0.2609968,NO,0.2572351,5.02882,0,1.5,0.5,72.9019,10,REWARD
59.11333,NO,4,-0.3294309,1.162274,-0.4345564,-0.4846382,1.137794,-0.6106509,0.2360038,YES,0,4.944739,0,1.5,0.5,71.17979,20,REWARD
63.95778,NO,5,-0.3603452,1.087965,-0.4441541,-0.5440472,1.108648,-0.6785012,0.2984841,YES,0,3.504325,0,1.5,0.5,67.81828,30,REWARD
81.14667,NO,6,0.2225291,1.22973,-0.4565808,0.1869404,1.155891,-0.5865549,0.153662,YES,0,5.149157,0,1.5,0.5,74.61364,40,REWARD
84.83556,NO,7,0.4348921,1.155049,-0.4253291,0.3497556,1.038396,-0.6925315,0.3037319,NO,0.5178146,2.97651,0,1.5,0.5,71.35646,40,REWARD
88.11333,NO,8,0.2290204,1.176493,-0.4804905,0.1783824,1.106755,-0.6227061,0.1662913,NO,0.1451565,4.10696,0,1.5,0.5,72.188,40,REWARD
91.75778,NO,9,0.2116356,1.306031,-0.4785983,0.1512917,1.201115,-0.5998834,0.1713444,NO,0.1060893,4.392463,0,1.5,0.5,79.03577,40,REWARD
94.95778,NO,10,0.182471,1.128252,-0.469785,0.08978343,1.064287,-0.5967749,0.1697322,YES,0,4.23693,0,1.5,0.5,69.35762,50,REWARD
99.05778,NO,11,0.04262477,0.9974699,-0.4569625,0.0397563,1.049296,-0.6281848,0.1789169,NO,0.2422342,3.04252,0,1.5,0.5,62.31803,50,REWARD
