Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
7439.102,1,0.3959243,1.428262,-0.1108816,0,0,0.4437623,1.324453,0.2185881,0,0,0
7439.113,1,0.3989896,1.426071,-0.1555102,0,0,0.4434016,1.327426,0.2311635,0,0,0
7439.125,1,0.4030441,1.423599,-0.1999054,0,0,0.4505094,1.329136,0.2481894,0,0,0
7439.136,1,0.4071891,1.420818,-0.2448111,0,0,0.4549263,1.330508,0.2563636,0,0,0
7439.148,1,0.4106294,1.414468,-0.2914777,0,0,0.4581398,1.324305,0.2654238,0,0,0
7439.159,1,0.4158874,1.406882,-0.3359075,0,0,0.4574916,1.315346,0.26968,0,0,0
7439.169,1,0.4211328,1.396952,-0.3804803,0,0,0.4573116,1.309191,0.2729645,0,0,0
7439.18,1,0.4265679,1.387044,-0.4256055,0,0,0.4554403,1.302638,0.2736042,0,0,0
7439.192,1,0.4307337,1.376481,-0.4718628,0,0,0.4587086,1.296325,0.2767715,0,0,0
7439.203,1,0.437906,1.365622,-0.5162423,0,0,0.4610383,1.286798,0.2798781,0,0,0
7439.214,1,0.44439,1.353231,-0.5618095,0,0,0.4621425,1.280829,0.28795,0,0,0
7439.227,1,0.4518313,1.338208,-0.6068575,0,0,0.4620688,1.272321,0.292654,0,0,0
7439.24,1,0.4588195,1.324117,-0.654099,0,0,0.461508,1.259942,0.2993991,0,0,0
7439.247,1,0.4634256,1.30958,-0.6987791,0,0,0.4608529,1.248606,0.305316,0,0,0
7439.258,1,0.4720761,1.292307,-0.7443283,0,0,0.4599353,1.23528,0.3106825,0,0,0
7439.27,1,0.4800472,1.274486,-0.7895439,0,0,0.4562137,1.22053,0.3153253,0,0,0
7439.281,1,0.4879155,1.255918,-0.8346057,0,0,0.4538722,1.207165,0.3192272,0,0,0
7439.292,1,0.4946681,1.236893,-0.8806636,0,0,0.4504827,1.193519,0.3240013,0,0,0
7439.303,1,0.5024576,1.217496,-0.925225,0,0,0.4474062,1.179543,0.3286369,0,0,0
7439.314,1,0.5075333,1.200669,-0.9534223,0,0,0.4448355,1.167056,0.3341486,0,0,0
7439.325,1,0.5166128,1.188012,-0.9814889,0,0,0.4423162,1.154641,0.3397467,0,0,0
7439.336,1,0.5264698,1.172154,-1.018387,0,0,0.439792,1.142266,0.3454828,0,0,0
7439.347,1,0.5376585,1.153097,-1.017758,0,0,0.4379675,1.130575,0.3508763,0,0,0
7439.359,1,0.5489875,1.132258,-1.039972,0,0,0.4357379,1.11905,0.3558269,0,0,0
7439.371,1,0.5573685,1.105745,-1.066515,0,0,0.433782,1.10746,0.3608329,0,0,0
7439.381,1,0.5668536,1.079282,-1.089693,0,0,0.4317814,1.096151,0.3657258,0,0,0
7439.393,1,0.5755531,1.053235,-1.110757,0,0,0.4294096,1.085141,0.3708172,0,0,0
7439.404,1,0.6148491,1.129789,-1.083091,0,0,0.427143,1.074385,0.3765392,0,0,0
7439.415,1,0.620086,1.12426,-1.094197,0,0,0.4246487,1.064203,0.3829548,0,0,0
7439.426,1,0.6227495,1.111257,-1.099359,0,0,0.4220065,1.054096,0.3896351,0,0,0
7439.438,1,0.6284338,1.101241,-1.116364,0,0,0.4193004,1.045119,0.3977311,0,0,0
7439.448,1,0.6730283,1.110491,-0.9679105,0,0,0.4167052,1.036265,0.4056633,0,0,0
7439.459,1,0.6587438,1.157124,-0.8631692,0,0,0.4141287,1.029425,0.4158664,0,0,0
7445.468,2,0.06846046,1.106818,0.03151274,0,0,0.2889563,1.166945,0.3160505,0,0,0
7445.481,2,0.04069161,1.104275,-0.001538992,0,0,0.2962184,1.167104,0.3146925,0,0,0
7445.493,2,0.03580654,1.085869,-0.03640485,0,0,0.3036126,1.166962,0.3144574,0,0,0
7445.502,2,0.02553427,1.069574,-0.07064295,0,0,0.3108866,1.165251,0.3131027,0,0,0
7445.514,2,0.02145171,1.049271,-0.1065831,0,0,0.3185664,1.161409,0.3131566,0,0,0
7445.525,2,0.02092075,1.030394,-0.143549,0,0,0.3256247,1.156603,0.3131039,0,0,0
7445.536,2,0.02003837,1.01438,-0.1819608,0,0,0.3314772,1.151217,0.3113801,0,0,0
7445.546,2,0.02275205,0.9968978,-0.2206459,0,0,0.3374544,1.145126,0.3090668,0,0,0
7445.558,2,0.03251815,0.9861724,-0.2514393,0,0,0.3429508,1.138807,0.3074312,0,0,0
7445.569,2,0.04811156,0.987668,-0.2725,0,0,0.3482348,1.132765,0.3060775,0,0,0
7445.58,2,0.06260347,0.9737188,-0.310766,0,0,0.3525754,1.12577,0.3063047,0,0,0
7445.591,2,0.0717181,0.968863,-0.3366671,0,0,0.3563676,1.118579,0.3066056,0,0,0
7445.603,2,0.07946694,0.9560338,-0.3644874,0,0,0.3593743,1.111013,0.3079636,0,0,0
7445.614,2,0.09069312,0.9441506,-0.3978429,0,0,0.3623655,1.103804,0.3089237,0,0,0
7445.625,2,0.1159338,0.9458284,-0.4262357,0,0,0.3637629,1.096334,0.3102663,0,0,0
7445.636,2,0.1530398,0.9487695,-0.4478478,0,0,0.3652735,1.089347,0.3116448,0,0,0
7445.647,2,0.1823921,0.9548035,-0.4663444,0,0,0.366999,1.082722,0.3125863,0,0,0
7445.658,2,0.2099872,0.958599,-0.4903936,0,0,0.3680286,1.076458,0.314558,0,0,0
7445.669,2,0.2466569,0.9633447,-0.5148559,0,0,0.3687825,1.070309,0.3169174,0,0,0
7445.682,2,0.2747756,0.9674336,-0.5389864,0,0,0.3697314,1.064079,0.3193033,0,0,0
7445.692,2,0.3116002,0.976272,-0.554424,0,0,0.3703114,1.058024,0.3217881,0,0,0
7445.703,2,0.3471714,0.9787188,-0.5709219,0,0,0.3706435,1.051837,0.324904,0,0,0
7445.714,2,0.3797058,0.9790514,-0.5882924,0,0,0.3708234,1.045796,0.3284607,0,0,0
7445.726,2,0.4129814,0.979938,-0.6045866,0,0,0.3710093,1.039847,0.3316865,0,0,0
7445.737,2,0.4477552,0.9844564,-0.6216726,0,0,0.370791,1.034193,0.3354616,0,0,0
7445.748,2,0.4798494,0.9886048,-0.6351078,0,0,0.3705484,1.028869,0.3398097,0,0,0
7445.759,2,0.5143277,0.9928336,-0.6475728,0,0,0.3703911,1.023625,0.3440623,0,0,0
7445.771,2,0.5493802,0.997099,-0.6640263,0,0,0.3699728,1.019037,0.349041,0,0,0
7445.781,2,0.5847985,0.9994023,-0.6734979,0,0,0.3694996,1.014902,0.3543017,0,0,0
7445.792,2,0.6177919,1.001873,-0.681061,0,0,0.368946,1.01121,0.3600483,0,0,0
7445.804,2,0.6525972,1.00422,-0.6951501,0,0,0.3686902,1.007435,0.3654022,0,0,0
7445.814,2,0.6880658,1.005214,-0.7030344,0,0,0.3684732,1.004545,0.3711779,0,0,0
7445.826,2,0.7243521,1.009188,-0.7091835,0,0,0.3681364,1.002508,0.3777094,0,0,0
7445.837,2,0.7610147,1.014394,-0.7150855,0,0,0.368148,0.9999295,0.3837585,0,0,0
7445.848,2,0.798379,1.020421,-0.7148125,0,0,0.3680844,0.9978456,0.3901393,0,0,0
7445.859,2,0.833492,1.023833,-0.7160947,0,0,0.3678935,0.9968696,0.3976552,0,0,0
7445.871,2,0.8677124,1.02561,-0.7109666,0,0,0.3679922,0.9962252,0.405184,0,0,0
7445.881,2,0.9031671,1.032214,-0.7081869,0,0,0.3678823,0.9956584,0.41307,0,0,0
