Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
42.80198,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.81329,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.82427,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.83553,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.8475,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.85859,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.86909,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.88034,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.89251,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.9038,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.91479,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.92488,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.93713,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.94789,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.95885,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.96989,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.98139,1,-1.111,0,0,0,0,0,0,0,0,0,0
42.99205,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.00331,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.01574,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.02528,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.03683,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.04798,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.05886,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.07024,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.08157,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.09244,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.10374,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.11517,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.12608,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.1373,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.14871,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.15952,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.17065,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.18226,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.19302,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.20435,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.21549,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.22684,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.23783,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.24911,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.25995,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.27147,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.2822,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.2936,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.30489,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.31589,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.32709,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.33831,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.34957,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.36096,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.37195,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.38285,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.39401,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.40523,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.41716,1,-1.111,0,0,0,0,0,0,0,0,0,0
43.42757,1,-1.111,0,0,0,0,0,0,0,0,0,0
