Time,Trial Number,Ball X,Ball Y,Ball Z,COP X,COP Y,Wrist X,Wrist Y,Wrist Z,Arm X,Arm Y,Arm Z
32.73677,1,-0.110423,0.982885,0.3113412,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.74786,1,-0.1102852,0.9829659,0.3112485,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.75938,1,-0.1103626,0.9830005,0.3112452,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.77019,1,-0.1102146,0.9828496,0.3111721,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.78167,1,-0.1103667,0.9830505,0.311193,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.79271,1,-0.1104299,0.9830487,0.31116,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.80407,1,-0.1103153,0.9829122,0.3111009,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.81513,1,-0.1104964,0.9830174,0.3111267,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.82621,1,-0.1105393,0.9830092,0.3111113,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.83754,1,-0.110377,0.9828515,0.3110815,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.84917,1,-0.1106845,0.9830379,0.3111519,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.86061,1,-0.1107353,0.9830538,0.3111426,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.87094,1,-0.1106318,0.9829668,0.3111506,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.8828,1,-0.110765,0.9831145,0.3112154,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.89334,1,-0.110803,0.9831601,0.311217,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.90443,1,-0.1108428,0.9831792,0.3111961,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.9156,1,-0.1107838,0.9831989,0.3111705,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.92683,1,-0.1107928,0.9831818,0.3111276,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.93811,1,-0.1104928,0.9829082,0.3110252,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.94915,1,-0.110485,0.9828228,0.3109632,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.9602,1,-0.1108217,0.9828706,0.3110073,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.97189,1,-0.1105694,0.9826622,0.3109894,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.98258,1,-0.1106213,0.9826491,0.3109863,0,0,-0.724416,1.55144,0.1056772,0,0,0
32.99457,1,-0.110628,0.9826549,0.310969,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.00509,1,-0.1103764,0.9824356,0.3109156,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.01591,1,-0.1105536,0.9824591,0.3109392,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.02734,1,-0.1105868,0.9824028,0.3109162,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.03986,1,-0.1103456,0.982131,0.3108912,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.04962,1,-0.1103512,0.9822243,0.3108689,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.06103,1,-0.1103827,0.9822259,0.3108637,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.07212,1,-0.11015,0.9820368,0.3108243,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.08345,1,-0.1101201,0.9822124,0.3108287,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.09437,1,-0.1101674,0.9822693,0.3108631,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.10597,1,-0.109967,0.9821213,0.3108438,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.11695,1,-0.1101464,0.9822232,0.3108692,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.12784,1,-0.1101865,0.9822407,0.3108264,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.13949,1,-0.1099807,0.9820663,0.310745,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.15065,1,-0.1103244,0.9821954,0.3107826,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.1615,1,-0.1104071,0.9821888,0.3107048,0,0,-0.724416,1.55144,0.1056772,0,0,0
33.17288,1,-0.1102463,0.9819965,0.3105733,0,0,-0.724416,1.55144,0.1056772,0,0,0
